"Index" "XER.Open" "XER.High" "XER.Low" "XER.Close" "XER.Volume" "XER.Adjusted"
2014-05-02 8.673 8.673 8.673 8.673 0 8.455
2014-05-05 8.628 8.628 8.628 8.628 0 8.411
2014-05-06 8.588 8.588 8.588 8.588 0 8.372
2014-05-07 8.38 8.38 8.38 8.38 0 8.169
2014-05-08 8.461 8.461 8.461 8.461 0 8.248
2014-05-09 8.571 8.571 8.571 8.571 0 8.355
2014-05-12 8.56 8.56 8.56 8.56 0 8.344
2014-05-13 8.686 8.686 8.686 8.686 0 8.467
2014-05-14 8.769 8.769 8.769 8.769 0 8.548
2014-05-15 8.692 8.692 8.692 8.692 0 8.473
2014-05-16 8.603 8.603 8.603 8.603 0 8.386
2014-05-19 8.659 8.659 8.659 8.659 0 8.441
2014-05-20 8.832 8.832 8.832 8.832 0 8.609
2014-05-21 8.711 8.711 8.711 8.711 0 8.492
2014-05-22 8.628 8.628 8.628 8.628 0 8.411
2014-05-23 8.619 8.619 8.619 8.619 0 8.402
2014-05-26 8.77 8.77 8.77 8.77 0 8.549
2014-05-27 8.789 8.789 8.789 8.789 0 8.568
2014-05-28 8.869 8.869 8.869 8.869 0 8.646
2014-05-29 8.926 8.926 8.926 8.926 0 8.701
2014-05-30 9 9 9 9 0 8.773
2014-06-02 9.017 9.017 9.017 9.017 0 8.79
2014-06-03 9.076 9.076 9.076 9.076 0 8.847
2014-06-04 9.107 9.107 9.107 9.107 0 8.878
2014-06-05 9.145 9.145 9.145 9.145 0 8.915
2014-06-06 9.04 9.04 9.04 9.04 0 8.812
2014-06-09 9.3 9.3 9.3 9.3 0 9.066
2014-06-10 9.461 9.461 9.461 9.461 0 9.223
2014-06-11 9.432 9.432 9.432 9.432 0 9.194
2014-06-12 9.373 9.373 9.373 9.373 0 9.137
2014-06-13 9.271 9.271 9.271 9.271 0 9.037
2014-06-16 9.26 9.26 9.26 9.26 0 9.027
2014-06-17 9.217 9.217 9.217 9.217 0 8.985
2014-06-18 9.372 9.372 9.372 9.372 0 9.136
2014-06-19 9.313 9.313 9.313 9.313 0 9.078
2014-06-20 9.083 9.083 9.083 9.083 0 8.854
2014-06-23 9.14 9.25 9.14 9.25 800 9.017
2014-06-24 9.2 9.2 9.2 9.2 0 8.968
2014-06-25 9.1 9.1 9.1 9.1 0 8.871
2014-06-26 9.233 9.233 9.233 9.233 0 9.063
2014-06-27 9.02 9.02 9.02 9.02 0 8.854
2014-06-30 9.12 9.12 9.12 9.12 0 8.952
2014-07-01 9.096 9.096 9.096 9.096 0 8.928
2014-07-02 9.011 9.011 9.011 9.011 0 8.845
2014-07-03 8.996 8.996 8.996 8.996 0 8.83
2014-07-04 9.105 9.105 9.105 9.105 0 8.937
2014-07-07 9.125 9.125 9.125 9.125 0 8.957
2014-07-08 8.931 8.931 8.931 8.931 0 8.766
2014-07-09 8.916 8.916 8.916 8.916 0 8.751
2014-07-10 9.094 9.094 9.094 9.094 0 8.926
2014-07-11 9.074 9.074 9.074 9.074 0 8.907
2014-07-14 9.2 9.2 9.2 9.2 0 9.03
2014-07-15 9.28 9.28 9.28 9.28 0 9.109
2014-07-16 9.269 9.269 9.269 9.269 0 9.098
2014-07-17 9.454 9.454 9.454 9.454 0 9.28
2014-07-18 9.427 9.427 9.427 9.427 0 9.253
2014-07-21 9.542 9.542 9.542 9.542 0 9.366
2014-07-22 9.536 9.536 9.536 9.536 0 9.36
2014-07-23 9.651 9.651 9.651 9.651 0 9.473
2014-07-24 9.458 9.458 9.458 9.458 0 9.283
2014-07-25 9.485 9.485 9.485 9.485 0 9.31
2014-07-28 9.841 9.841 9.841 9.841 0 9.659
2014-07-29 9.706 9.706 9.706 9.706 0 9.527
2014-07-30 9.635 9.635 9.635 9.635 0 9.457
2014-07-31 9.8 9.8 9.8 9.8 0 9.619
2014-08-01 9.857 9.857 9.857 9.857 0 9.675
2014-08-04 9.667 9.667 9.667 9.667 0 9.489
2014-08-05 9.734 9.734 9.734 9.734 0 9.554
2014-08-06 9.743 9.743 9.743 9.743 0 9.563
2014-08-07 9.662 9.662 9.662 9.662 0 9.484
2014-08-08 9.629 9.629 9.629 9.629 0 9.451
2014-08-11 9.795 9.795 9.795 9.795 0 9.614
2014-08-12 9.942 9.942 9.942 9.942 0 9.759
2014-08-13 9.978 9.978 9.978 9.978 0 9.794
2014-08-14 10.125 10.125 10.125 10.125 0 9.938
2014-08-15 10.015 10.015 10.015 10.015 0 9.83
2014-08-18 9.948 9.948 9.948 9.948 0 9.764
2014-08-19 10.05 10.05 10.05 10.05 0 9.865
2014-08-20 10.06 10.06 10.06 10.06 0 9.874
2014-08-21 10.175 10.175 10.175 10.175 0 9.987
