"Index" "MAE.Open" "MAE.High" "MAE.Low" "MAE.Close" "MAE.Volume" "MAE.Adjusted"
2014-04-24 0.28 0.28 0.28 0.28 0 280
2014-04-25 0.28 0.28 0.28 0.28 0 280
2014-04-28 0.28 0.28 0.28 0.28 0 280
2014-04-29 0.28 0.28 0.28 0.28 0 280
2014-04-30 0.28 0.28 0.28 0.28 0 280
2014-05-01 0.28 0.28 0.28 0.28 0 280
2014-05-02 0.28 0.28 0.28 0.28 0 280
2014-05-05 0.205 0.205 0.205 0.205 11500 205
2014-05-06 0.205 0.205 0.205 0.205 0 205
2014-05-07 0.205 0.205 0.205 0.205 0 205
2014-05-08 0.25 0.25 0.25 0.25 62000 250
2014-05-09 0.235 0.25 0.235 0.25 25000 250
2014-05-12 0.25 0.25 0.24 0.24 26500 240
2014-05-13 0.235 0.25 0.235 0.25 33000 250
2014-05-14 0.25 0.25 0.25 0.25 0 250
2014-05-15 0.25 0.25 0.25 0.25 0 250
2014-05-16 0.25 0.25 0.25 0.25 0 250
2014-05-19 0.25 0.25 0.25 0.25 0 250
2014-05-20 0.25 0.25 0.25 0.25 0 250
2014-05-21 0.25 0.25 0.25 0.25 0 250
2014-05-22 0.25 0.25 0.25 0.25 0 250
2014-05-23 0.25 0.25 0.25 0.25 0 250
2014-05-26 0.25 0.25 0.25 0.25 0 250
2014-05-27 0.235 0.235 0.235 0.235 4500 235
2014-05-28 0.28 0.28 0.28 0.28 5500 280
2014-05-29 0.28 0.28 0.28 0.28 0 280
2014-05-30 0.28 0.28 0.28 0.28 0 280
2014-06-02 0.28 0.28 0.28 0.28 0 280
2014-06-03 0.21 0.22 0.18 0.2 78000 200
2014-06-04 0.17 0.24 0.17 0.24 2000 240
2014-06-05 0.24 0.24 0.24 0.24 0 240
2014-06-06 0.24 0.24 0.24 0.24 4500 240
2014-06-09 0.24 0.24 0.24 0.24 0 240
2014-06-10 0.24 0.24 0.24 0.24 0 240
2014-06-11 0.24 0.24 0.24 0.24 0 240
