"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2014-08-12 37.3 37.3 37.3 37.3 0 35.545
2014-08-13 37.3 37.3 37.3 37.3 11800 35.545
2014-08-14 37.3 37.3 37.3 37.3 3000 35.545
2014-08-15 36 36 36 36 12000 34.306
2014-08-18 0.2 0.2 0.2 0.2 0 0.191
2014-08-19 36 36 36 36 2500 34.306
2014-08-20 36 36 36 36 200 34.306
2014-08-21 36 36 36 36 12000 34.306
2014-08-22 36 36 36 36 1000 34.306
2014-08-25 36 36 36 36 1300 34.306
2014-08-26 36 36 36 36 1400 34.306
2014-08-27 35.5 35.5 35.5 35.5 1000 33.83
2014-08-28 35 35 35 35 5000 33.353
2014-08-29 35 35 35 35 200 33.353
2014-09-01 35 35 35 35 500 33.353
2014-09-02 35 35 35 35 3000 33.353
2014-09-03 35 35 35 35 1500 33.353
2014-09-04 35.95 35.95 35.95 35.95 20000 34.259
2014-09-05 35.95 35.95 35.95 35.95 500 34.259
2014-09-08 34.22 34.22 34.22 34.22 2500 32.61
2014-09-09 34.22 34.22 34.22 34.22 4300 32.61
2014-09-10 34.22 34.22 34.22 34.22 7700 32.61
2014-09-11 35 35 35 35 10800 33.353
2014-09-12 33.92 33.92 33.92 33.92 1000 32.324
2014-09-15 34.95 34.95 34.95 34.95 800 33.306
2014-09-16 34.95 34.95 34.95 34.95 0 33.306
2014-09-17 34.98 34.98 34.98 34.98 100 33.334
2014-09-18 34.08 34.08 34.08 34.08 1800 32.477
2014-09-19 34 34 34 34 400 32.4
2014-09-22 34.99 34.99 34.99 34.99 24800 33.953
2014-09-23 33.25 33.25 33.25 33.25 9300 32.265
2014-09-24 33.25 33.25 33.25 33.25 24300 32.265
2014-09-25 32.25 32.25 32.25 32.25 1900 31.294
2014-09-26 32.25 32.25 32.25 32.25 0 31.294
2014-09-29 32.99 32.99 32.99 32.99 4700 32.012
2014-09-30 35 35 35 35 300 33.963
2014-10-01 35 35 35 35 0 33.963
2014-10-02 33.25 33.25 33.25 33.25 2400 32.265
2014-10-03 32.15 32.15 32.15 32.15 25000 31.197
2014-10-06 32.15 32.15 32.15 32.15 0 31.197
2014-10-07 32.15 32.15 32.15 32.15 0 31.197
2014-10-08 32 32 32 32 3000 31.052
2014-10-09 32 32 32 32 1000 31.052
2014-10-10 31.92 31.92 31.92 31.92 1700 30.974
2014-10-13 30.33 30.33 30.33 30.33 200 29.431
2014-10-14 30.33 30.33 30.33 30.33 300 29.431
2014-10-15 30.33 30.33 30.33 30.33 300 29.431
2014-10-16 30.33 30.33 30.33 30.33 2700 29.431
2014-10-17 30.33 30.33 30.33 30.33 5000 29.431
2014-10-20 28.82 28.82 28.82 28.82 621500 27.966
2014-10-21 27.74 27.74 27.74 27.74 700 26.918
2014-10-22 26.5 26.5 26.5 26.5 1500 25.715
2014-10-23 26 26 26 26 6000 25.229
2014-10-24 26.99 26.99 26.99 26.99 1000 26.19
2014-10-27 27.8 27.8 27.8 27.8 2500 26.976
2014-10-28 27.8 27.8 27.8 27.8 600 26.976
