"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2014-06-19 5.54 5.54 5.45 5.51 260700 5.404173
2014-06-20 5.54 5.59 5.37 5.4 584100 5.296286
2014-06-23 5.4 5.41 5.24 5.36 598400 5.257054
2014-06-24 5.37 5.67 5.37 5.64 886600 5.531676
2014-06-25 5.57 5.99 5.54 5.98 1281900 5.865146
2014-06-26 5.98 6.08 5.94 6.08 665200 5.963225
2014-06-27 6.03 6.26 5.97 6.26 886600 6.139768
2014-06-30 6.22 6.29 6.13 6.22 1163400 6.100536
2014-07-01 6.29 6.48 6.29 6.42 1027300 6.296695
2014-07-02 6.43 6.55 6.26 6.29 594000 6.169192
2014-07-03 6.34 6.48 6.26 6.42 276500 6.296695
2014-07-07 6.42 6.43 6.2 6.21 420500 6.090728
2014-07-08 6.2 6.21 5.85 5.97 410200 5.855338
2014-07-09 5.99 6.17 5.92 6.09 442100 5.973033
2014-07-10 5.93 6.1 5.9 6.06 520500 5.943609
2014-07-11 6.04 6.14 5.92 5.93 551500 5.816106
2014-07-14 6.01 6.05 5.97 6.01 349600 5.89457
2014-07-15 5.99 6.02 5.9 5.92 622500 5.806298
2014-07-16 5.97 6.05 5.91 6 371900 5.884762
2014-07-17 5.97 6.03 5.87 5.89 358300 5.776874
2014-07-18 5.89 5.99 5.86 5.97 263400 5.855338
2014-07-21 5.9 5.97 5.8 5.83 330300 5.718027
2014-07-22 5.86 6 5.85 6 299800 5.884762
2014-07-23 6 6.05 5.9 5.99 339300 5.874953
2014-07-24 5.99 6.08 5.9 5.94 365300 5.825914
2014-07-25 5.91 5.98 5.88 5.9 270800 5.786682
2014-07-28 5.9 5.9 5.75 5.81 309200 5.698411
2014-07-29 5.74 5.88 5.64 5.76 442900 5.649371
2014-07-30 5.83 5.86 5.71 5.76 328000 5.649371
2014-07-31 5.71 5.8 5.54 5.59 613500 5.482636
2014-08-01 5.59 5.59 5.41 5.47 466400 5.364941
2014-08-04 5.47 5.61 5.45 5.58 481100 5.472828
2014-08-05 5.52 5.59 5.45 5.52 189800 5.413981
2014-08-06 5.47 5.75 5.42 5.7 310000 5.590523
2014-08-07 4.97 4.97 4.69 4.77 1662300 4.678385
2014-08-08 4.75 4.76 4.58 4.7 511400 4.60973
2014-08-11 4.7 4.78 4.44 4.46 1010700 4.374339
2014-08-12 4.45 4.56 4.2 4.31 997700 4.22722
2014-08-13 4.31 4.35 4.21 4.23 1084600 4.148757
2014-08-14 4.3 4.35 4.14 4.26 2971700 4.178181
2014-08-15 4.33 4.4 4.23 4.23 1318200 4.148757
2014-08-18 4.26 4.57 4.26 4.55 897300 4.462611
2014-08-19 4.59 4.8 4.59 4.78 618000 4.688194
2014-08-20 4.75 4.76 4.65 4.72 393500 4.629346
2014-08-21 4.7 4.75 4.59 4.68 436000 4.590114
2014-08-22 4.7 4.73 4.62 4.64 335400 4.550882
2014-08-25 4.65 4.66 4.45 4.61 528700 4.521459
2014-08-26 4.6 4.64 4.5 4.55 834800 4.462611
2014-08-27 4.54 4.72 4.52 4.69 1161500 4.599922
2014-08-28 4.65 4.73 4.62 4.7 593900 4.60973
2014-08-29 4.69 4.69 4.51 4.58 577800 4.492035
2014-09-02 4.58 4.59 4.49 4.55 404200 4.462611
2014-09-03 4.56 4.66 4.56 4.6 368300 4.51165
2014-09-04 4.62 4.62 4.44 4.47 351100 4.384147
2014-09-05 4.44 4.52 4.42 4.5 258100 4.413571
2014-09-08 4.46 4.62 4.46 4.59 245000 4.501843
2014-09-09 4.56 4.62 4.4 4.41 274300 4.3253
2014-09-10 4.52 4.71 4.51 4.67 708900 4.580306
2014-09-11 4.59 4.65 4.51 4.58 386900 4.516211
2014-09-12 4.58 4.6 4.44 4.52 383400 4.457047
2014-09-15 4.52 4.56 4.3 4.35 551400 4.289415
2014-09-16 4.36 4.41 4.33 4.4 590100 4.338718
2014-09-17 4.38 4.42 4.31 4.37 434200 4.309136
2014-09-18 4.37 4.45 4.34 4.4 657400 4.338718
2014-09-19 4.37 4.46 4.25 4.29 639400 4.23025
2014-09-22 4.25 4.31 4.22 4.22 223500 4.161225
2014-09-23 4.2 4.26 4.09 4.12 414000 4.062618
2014-09-24 4.12 4.14 3.88 4 599400 3.944289
2014-09-25 3.98 4.01 3.84 3.98 519100 3.924568
2014-09-26 3.98 3.98 3.88 3.95 980300 3.894986
2014-09-29 3.94 4.01 3.86 3.96 710900 3.904847
2014-09-30 3.93 4.09 3.89 3.96 649000 3.904847
2014-10-01 3.96 3.98 3.88 3.93 713400 3.875264
2014-10-02 3.92 4 3.88 3.98 452600 3.924568
2014-10-03 4.02 4.21 4.01 4.2 570300 4.141504
2014-10-06 4.38 4.64 4.36 4.4 809200 4.338718
2014-10-07 4.36 4.44 4.21 4.37 691000 4.309136
2014-10-08 4.41 4.55 4.34 4.53 498900 4.466908
2014-10-09 4.51 4.56 4.36 4.36 552600 4.299276
2014-10-10 4.3 4.4 4.17 4.18 434000 4.121782
2014-10-13 4.16 4.2 4.02 4.09 324900 4.033036
2014-10-14 4.16 4.36 4.07 4.33 508700 4.269693
2014-10-15 4.25 4.54 4.2 4.48 623100 4.417604
2014-10-16 4.38 4.67 4.35 4.54 556400 4.476768
2014-10-17 4.64 4.75 4.52 4.59 605200 4.526072
2014-10-20 4.54 4.76 4.53 4.72 444800 4.654261
2014-10-21 4.72 4.8 4.66 4.78 450500 4.713426
2014-10-22 4.78 4.83 4.64 4.72 417300 4.654261
2014-10-23 4.76 4.93 4.69 4.85 611800 4.782451
