"Index" "SI.Open" "SI.High" "SI.Low" "SI.Close" "SI.Volume" "SI.Adjusted"
2013-12-12 0.095 0.095 0.09 0.09 20000 0.09
2013-12-13 0.09 0.09 0.09 0.09 0 0.09
2013-12-16 0.1 0.11 0.1 0.11 11000 0.11
2013-12-17 0.12 0.12 0.12 0.12 2200 0.12
2013-12-18 0.145 0.15 0.145 0.15 30500 0.15
2013-12-19 0.13 0.15 0.12 0.125 258900 0.125
2013-12-20 0.115 0.115 0.115 0.115 121900 0.115
2013-12-23 0.13 0.13 0.12 0.12 105000 0.12
2013-12-24 0.125 0.125 0.11 0.11 50000 0.11
2013-12-25 0.11 0.11 0.11 0.11 0 0.11
2013-12-26 0.11 0.11 0.11 0.11 0 0.11
2013-12-27 0.11 0.11 0.11 0.11 0 0.11
2013-12-30 0.12 0.12 0.11 0.12 145000 0.12
2013-12-31 0.12 0.12 0.12 0.12 0 0.12
2014-01-01 0.12 0.12 0.12 0.12 0 0.12
2014-01-02 0.125 0.125 0.11 0.11 141100 0.11
2014-01-03 0.115 0.115 0.11 0.11 16600 0.11
2014-01-06 0.09 0.09 0.09 0.09 40000 0.09
2014-01-07 0.09 0.09 0.09 0.09 0 0.09
2014-01-08 0.09 0.09 0.09 0.09 0 0.09
2014-01-09 0.09 0.09 0.09 0.09 0 0.09
2014-01-10 0.09 0.09 0.09 0.09 0 0.09
2014-01-13 0.09 0.09 0.09 0.09 0 0.09
2014-01-14 0.09 0.09 0.09 0.09 0 0.09
2014-01-15 0.09 0.09 0.09 0.09 0 0.09
2014-01-16 0.09 0.09 0.09 0.09 500 0.09
2014-01-17 0.12 0.12 0.12 0.12 3000 0.12
2014-01-20 0.12 0.12 0.12 0.12 0 0.12
2014-01-21 0.12 0.12 0.12 0.12 0 0.12
2014-01-22 0.12 0.12 0.12 0.12 0 0.12
2014-01-23 0.12 0.12 0.12 0.12 0 0.12
2014-01-24 0.12 0.12 0.12 0.12 3000 0.12
2014-01-27 0.12 0.12 0.12 0.12 0 0.12
2014-01-28 0.12 0.12 0.12 0.12 0 0.12
2014-01-29 0.12 0.12 0.12 0.12 0 0.12
2014-01-30 0.14 0.15 0.14 0.15 28000 0.15
2014-01-31 0.12 0.12 0.105 0.105 50000 0.105
2014-02-03 0.11 0.11 0.11 0.11 2200 0.11
2014-02-04 0.12 0.12 0.12 0.12 2700 0.12
2014-02-05 0.12 0.12 0.12 0.12 0 0.12
2014-02-06 0.12 0.12 0.12 0.12 0 0.12
2014-02-07 0.12 0.12 0.12 0.12 0 0.12
2014-02-10 0.12 0.12 0.12 0.12 0 0.12
2014-02-11 0.12 0.12 0.12 0.12 1000 0.12
2014-02-12 0.12 0.12 0.12 0.12 0 0.12
2014-02-13 0.14 0.15 0.14 0.15 20000 0.15
2014-02-14 0.135 0.135 0.135 0.135 1300 0.135
2014-02-17 0.135 0.135 0.135 0.135 0 0.135
2014-02-18 0.14 0.14 0.115 0.115 244900 0.115
2014-02-19 0.115 0.135 0.115 0.135 177000 0.135
2014-02-20 0.135 0.135 0.135 0.135 0 0.135
2014-02-21 0.135 0.135 0.135 0.135 0 0.135
2014-02-24 0.15 0.15 0.14 0.15 35900 0.15
2014-02-25 0.15 0.15 0.15 0.15 0 0.15
2014-02-26 0.15 0.15 0.15 0.15 0 0.15
2014-02-27 0.15 0.15 0.15 0.15 0 0.15
2014-02-28 0.15 0.15 0.15 0.15 0 0.15
2014-03-03 0.15 0.15 0.15 0.15 0 0.15
2014-03-04 0.14 0.14 0.14 0.14 2000 0.14
2014-03-05 0.14 0.14 0.14 0.14 0 0.14
2014-03-06 0.17 0.17 0.17 0.17 3000 0.17
2014-03-07 0.17 0.17 0.17 0.17 0 0.17
2014-03-10 0.17 0.17 0.17 0.17 0 0.17
2014-03-11 0.17 0.17 0.17 0.17 0 0.17
2014-03-12 0.17 0.17 0.17 0.17 0 0.17
2014-03-13 0.14 0.14 0.14 0.14 5400 0.14
2014-03-14 0.14 0.14 0.14 0.14 0 0.14
2014-03-17 0.14 0.14 0.14 0.14 31900 0.14
2014-03-18 0.14 0.14 0.14 0.14 36300 0.14
2014-03-19 0.135 0.135 0.13 0.13 45000 0.13
2014-03-20 0.13 0.13 0.13 0.13 0 0.13
2014-03-21 0.13 0.13 0.13 0.13 20000 0.13
2014-03-24 0.13 0.13 0.13 0.13 0 0.13
2014-03-25 0.12 0.12 0.12 0.12 1600 0.12
2014-03-26 0.145 0.15 0.145 0.15 18000 0.15
2014-03-27 0.15 0.15 0.15 0.15 0 0.15
2014-03-28 0.135 0.14 0.135 0.14 68100 0.14
2014-03-31 0.17 0.17 0.16 0.16 38300 0.16
2014-04-01 0.145 0.145 0.14 0.14 1e+05 0.14
2014-04-02 0.15 0.15 0.15 0.15 20000 0.15
2014-04-03 0.15 0.15 0.15 0.15 0 0.15
2014-04-04 0.15 0.15 0.15 0.15 0 0.15
2014-04-07 0.15 0.15 0.15 0.15 20000 0.15
2014-04-08 0.13 0.13 0.13 0.13 2800 0.13
2014-04-09 0.13 0.13 0.13 0.13 0 0.13
2014-04-10 0.13 0.13 0.13 0.13 0 0.13
2014-04-11 0.13 0.13 0.13 0.13 0 0.13
2014-04-14 0.13 0.13 0.13 0.13 0 0.13
2014-04-15 0.13 0.13 0.13 0.13 2500 0.13
2014-04-16 0.13 0.13 0.13 0.13 0 0.13
2014-04-17 0.14 0.15 0.14 0.15 40000 0.15
2014-04-18 0.15 0.15 0.15 0.15 0 0.15
2014-04-21 0.15 0.15 0.15 0.15 20000 0.15
2014-04-22 0.15 0.15 0.14 0.14 82000 0.14
2014-04-23 0.14 0.14 0.14 0.14 0 0.14
2014-04-24 0.14 0.14 0.14 0.14 0 0.14
2014-04-25 0.14 0.14 0.14 0.14 0 0.14
2014-04-28 0.14 0.14 0.14 0.14 8000 0.14
2014-04-29 0.14 0.14 0.14 0.14 0 0.14
2014-04-30 0.14 0.15 0.14 0.15 30500 0.15
2014-05-01 0.15 0.15 0.15 0.15 40000 0.15
2014-05-02 0.15 0.17 0.15 0.17 45500 0.17
2014-05-05 0.17 0.17 0.17 0.17 0 0.17
2014-05-06 0.16 0.16 0.16 0.16 8000 0.16
2014-05-07 0.16 0.16 0.16 0.16 0 0.16
2014-05-08 0.16 0.16 0.16 0.16 0 0.16
2014-05-09 0.16 0.16 0.16 0.16 0 0.16
2014-05-12 0.155 0.155 0.15 0.15 55400 0.15
2014-05-13 0.14 0.14 0.14 0.14 15000 0.14
2014-05-14 0.14 0.14 0.14 0.14 55000 0.14
2014-05-15 0.14 0.14 0.14 0.14 0 0.14
2014-05-16 0.14 0.14 0.14 0.14 0 0.14
2014-05-19 0.14 0.14 0.14 0.14 0 0.14
2014-05-20 0.14 0.14 0.14 0.14 0 0.14
2014-05-21 0.14 0.14 0.14 0.14 0 0.14
2014-05-22 0.14 0.14 0.14 0.14 0 0.14
2014-05-23 0.14 0.14 0.14 0.14 0 0.14
2014-05-26 0.14 0.14 0.14 0.14 0 0.14
2014-05-27 0.14 0.14 0.14 0.14 0 0.14
2014-05-28 0.13 0.13 0.13 0.13 75000 0.13
2014-05-29 0.13 0.13 0.13 0.13 0 0.13
2014-05-30 0.13 0.13 0.13 0.13 0 0.13
2014-06-02 0.13 0.13 0.13 0.13 0 0.13
2014-06-03 0.13 0.13 0.13 0.13 0 0.13
2014-06-04 0.13 0.13 0.13 0.13 0 0.13
