"Index" "NEN.Open" "NEN.High" "NEN.Low" "NEN.Close" "NEN.Volume" "NEN.Adjusted"
2014-05-15 46.470001 46.470001 45.73 45.75 1900 44.376217
2014-05-16 46.84 46.84 45.34 45.450001 600 44.085226
2014-05-19 45.200001 46.740002 45.200001 45.799999 2900 44.424715
2014-05-20 45.299999 46.5 45.299999 46 1000 44.61871
2014-05-21 45.610001 46.450001 45.169998 46.450001 1200 45.055198
2014-05-22 46.380001 46.470001 46 46 800 44.61871
2014-05-23 46.470001 46.470001 46.470001 46.470001 300 45.074598
2014-05-27 46.200001 46.200001 46.200001 46.200001 300 44.812705
2014-05-28 46.799999 46.799999 46.509998 46.509998 700 45.113394
2014-05-29 46.48 49.459999 46.48 49.459999 3100 47.974812
2014-05-30 48.529999 48.919998 48.5 48.91 1100 47.441328
2014-06-02 48.549999 48.549999 47.740002 48.509998 1200 47.053338
2014-06-03 48.990002 49.5 48.689999 49.5 1700 48.013612
2014-06-04 50 51.880001 50 51.880001 600 50.322146
2014-06-05 51 51.779999 51 51.299999 1200 49.759561
2014-06-06 50.080002 51.18 50.080002 50.310001 2600 48.79929
2014-06-09 50.509998 50.509998 50 50.25 1400 48.741091
2014-06-10 49.279999 49.549999 49.279999 49.549999 800 48.06211
2014-06-11 49.599998 49.599998 49.599998 49.599998 400 48.110607
2014-06-12 49.599998 49.599998 49.599998 49.599998 0 48.354329
2014-06-13 50.970001 50.970001 50.970001 50.970001 300 49.689925
2014-06-16 49.98 50.209999 49.98 50.209999 300 48.94901
2014-06-17 49.98 50 49.98 50 200 48.744285
2014-06-18 50 50 50 50 0 48.744285
2014-06-19 49.110001 49.110001 49.110001 49.110001 200 47.876637
2014-06-20 49.75 49.75 49.75 49.75 100 48.500564
2014-06-23 49.950001 49.950001 49.400002 49.400002 1200 48.159355
2014-06-24 49.34 49.34 49.110001 49.110001 500 47.876637
2014-06-25 50 50 49.75 49.75 800 48.500564
2014-06-26 49.150002 49.919998 49.110001 49.919998 900 48.666292
2014-06-27 49.919998 49.919998 49.919998 49.919998 0 48.666292
2014-06-30 50 50 49.099998 49.139999 800 47.905883
2014-07-01 49.98 49.98 49.959999 49.959999 500 48.705289
2014-07-02 49.279999 49.959999 49.279999 49.599998 2900 48.354329
2014-07-03 49.91 49.91 49.900002 49.91 800 48.656545
2014-07-07 49.75 49.75 49.16 49.75 800 48.500564
2014-07-08 50 50 49.130001 49.799999 1200 48.549307
2014-07-09 49.939999 49.939999 49.209999 49.919998 600 48.666292
2014-07-10 49.650002 49.650002 49.099998 49.099998 1000 47.866886
2014-07-11 49.889999 49.889999 49.889999 49.889999 400 48.637047
2014-07-14 49.939999 49.939999 49.939999 49.939999 400 48.685791
2014-07-15 49.900002 49.900002 49.150002 49.240002 700 48.003374
2014-07-16 49.200001 49.459999 48.75 48.75 3300 47.525678
