"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2014-05-22 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-23 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-29 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-05-30 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-02 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-04 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-05 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-09 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-11 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-12 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-16 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-18 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-19 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-23 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-06-30 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-07-01 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-07-02 10.315 10.315 10.315 10.315 0 10.315
2014-07-03 10.565 10.565 10.565 10.565 0 10.565
2014-07-04 10.525 10.525 10.525 10.525 0 10.525
2014-07-07 10.46 10.46 10.46 10.46 0 10.46
2014-07-08 10.31 10.31 10.31 10.31 0 10.31
2014-07-09 10.235 10.235 10.235 10.235 0 10.235
2014-07-10 10.125 10.125 10.125 10.125 0 10.125
2014-07-11 10.155 10.155 10.155 10.155 0 10.155
2014-07-14 10.265 10.265 10.265 10.265 0 10.265
2014-07-15 10.175 10.175 10.175 10.175 0 10.175
2014-07-16 10.035 10.035 10.035 10.035 0 10.035
2014-07-17 10.09 10.09 10.09 10.09 0 10.09
2014-07-18 10.015 10.015 10.015 10.015 0 10.015
2014-07-21 10.005 10.005 10.005 10.005 0 10.005
2014-07-22 10.035 10.035 10.035 10.035 0 10.035
2014-07-23 10.23 10.23 10.23 10.23 0 10.23
2014-07-24 10.34 10.34 10.34 10.34 0 10.34
2014-07-25 10.35 10.35 10.35 10.35 0 10.35
2014-07-28 10.395 10.395 10.395 10.395 0 10.395
2014-07-29 10.38 10.38 10.38 10.38 0 10.38
2014-07-30 10.44 10.44 10.44 10.44 0 10.44
2014-07-31 10.375 10.375 10.375 10.375 0 10.375
2014-08-01 10.28 10.28 10.28 10.28 0 10.28
2014-08-04 10.175 10.175 10.175 10.175 0 10.175
2014-08-05 10.275 10.275 10.275 10.275 0 10.275
2014-08-06 10.135 10.135 10.135 10.135 0 10.135
2014-08-07 10.165 10.165 10.165 10.165 0 10.165
2014-08-08 9.982 9.982 9.982 9.982 0 9.982
2014-08-11 10.22 10.22 10.22 10.22 0 10.22
2014-08-12 10.165 10.165 10.165 10.165 0 10.165
2014-08-13 10.075 10.075 10.075 10.075 0 10.075
2014-08-14 10.145 10.145 10.145 10.145 0 10.145
2014-08-15 10.335 10.335 10.335 10.335 0 10.335
2014-08-18 10.25 10.25 10.25 10.25 0 10.25
2014-08-19 10.495 10.495 10.495 10.495 0 10.495
2014-08-20 10.495 10.495 10.495 10.495 0 10.495
2014-08-21 10.575 10.575 10.575 10.575 0 10.575
2014-08-22 10.6 10.6 10.6 10.6 0 10.6
2014-08-25 10.625 10.625 10.625 10.625 0 10.625
2014-08-26 10.57 10.57 10.57 10.57 0 10.57
2014-08-27 10.65 10.65 10.65 10.65 0 10.65
2014-08-28 10.615 10.615 10.615 10.615 0 10.615
2014-08-29 10.675 10.89 10.675 10.89 500 10.89
2014-09-01 10.74 10.74 10.74 10.74 500 10.74
2014-09-02 10.875 10.875 10.875 10.875 500 10.875
2014-09-03 10.74 10.74 10.74 10.74 500 10.74
2014-09-04 10.665 10.665 10.665 10.665 500 10.665
2014-09-05 10.795 10.795 10.795 10.795 500 10.795
2014-09-08 10.84 10.84 10.84 10.84 500 10.84
2014-09-09 10.735 10.735 10.735 10.735 500 10.735
2014-09-10 10.76 10.76 10.76 10.76 500 10.76
2014-09-11 10.725 10.725 10.725 10.725 500 10.725
2014-09-12 10.69 10.69 10.69 10.69 500 10.69
2014-09-15 10.66 10.66 10.66 10.66 500 10.66
2014-09-16 10.585 10.585 10.585 10.585 500 10.585
2014-09-17 10.49 10.49 10.49 10.49 500 10.49
2014-09-18 10.475 10.475 10.475 10.475 500 10.475
2014-09-19 10.835 10.835 10.835 10.835 500 10.835
2014-09-22 10.955 10.955 10.955 10.955 500 10.955
2014-09-23 10.985 10.985 10.985 10.985 500 10.985
2014-09-24 10.81 10.81 10.81 10.81 500 10.81
2014-09-25 10.975 10.975 10.975 10.975 500 10.975
2014-09-26 10.86 10.885 10.86 10.885 500 10.885
2014-09-29 10.86 10.86 10.86 10.86 500 10.86
2014-09-30 10.94 10.965 10.94 10.96 500 10.96
2014-10-01 10.996 10.996 10.996 10.996 0 10.996
2014-10-02 10.726 10.726 10.726 10.726 0 10.726
