"Index" "FI.Open" "FI.High" "FI.Low" "FI.Close" "FI.Volume" "FI.Adjusted"
2015-03-25 17.67 17.879999 17.34 17.450001 1579900 17.145205
2015-03-26 17.66 17.99 17.389999 17.549999 876500 17.243457
2015-03-27 17.549999 17.950001 17.440001 17.719999 581000 17.410488
2015-03-30 18.209999 18.950001 18.190001 18.799999 1294000 18.471624
2015-03-31 18.59 18.799999 18.360001 18.700001 518800 18.373372
2015-04-01 18.6 19.129999 18.58 19.059999 866700 18.727083
2015-04-02 18.68 19.25 18.25 18.4 1396900 18.078611
2015-04-06 18.540001 19.08 18.41 18.889999 2109100 18.560052
2015-04-07 18.84 19.99 18.66 19.040001 1326600 18.707433
2015-04-08 19.09 19.42 18.809999 19.059999 668700 18.727083
2015-04-09 19.1 19.77 18.98 19.459999 464300 19.120095
2015-04-10 18.91 19.540001 18.91 19.299999 977700 18.96289
2015-04-13 19.24 19.549999 19.040001 19.07 272700 18.736908
2015-04-14 19.17 19.41 18.959999 19.08 336200 18.746734
2015-04-15 19.209999 19.99 19.139999 19.98 1054400 19.631013
2015-04-16 19.959999 19.959999 19.299999 19.450001 471300 19.110272
2015-04-17 19.450001 19.549999 18.84 19.07 555900 18.736908
2015-04-20 18.99 19.530001 18.92 19.280001 611500 18.943241
2015-04-21 19.299999 19.299999 18.620001 18.799999 494900 18.471624
2015-04-22 18.790001 19.040001 18.52 18.91 462900 18.579703
2015-04-23 19.030001 19.41 18.889999 19.16 532600 18.825336
2015-04-24 19.08 19.17 18.639999 18.799999 424300 18.471624
2015-04-27 18.959999 19.27 18.780001 18.91 446700 18.579703
2015-04-28 18.879999 19.15 18.67 18.799999 525500 18.471624
2015-04-29 19.5 20.799999 19.25 20.559999 1738000 20.200882
2015-04-30 20.870001 21.42 20.18 20.799999 1655200 20.43669
2015-05-01 20.82 21.25 20.639999 21.209999 783200 20.839529
2015-05-04 21.4 21.5 20.940001 21.07 650700 20.701975
2015-05-05 21.309999 21.389999 20.620001 20.639999 700300 20.279485
2015-05-06 20.92 21.23 20.639999 21.190001 563000 20.819879
2015-05-07 21.110001 21.190001 20.540001 20.74 761600 20.377739
2015-05-08 20.99 21.280001 20.379999 21.209999 441200 20.839529
2015-05-11 21.17 21.190001 20.57 20.84 221000 20.475992
2015-05-12 20.85 21.16 20.76 21.01 190800 20.643023
2015-05-13 21.17 21.26 20.700001 20.940001 411200 20.574246
2015-05-14 21.059999 21.41 20.950001 21.200001 555400 20.829705
2015-05-15 21.040001 21.110001 20.74 20.91 316300 20.544769
2015-05-18 20.84 21 20.559999 20.98 194100 20.613546
2015-05-19 20.799999 20.82 19.969999 20.360001 555400 20.004377
2015-05-20 20.32 20.49 19.940001 20.120001 495400 19.768569
2015-05-21 20.24 20.799999 20.15 20.700001 339500 20.338438
2015-05-22 20.559999 20.85 20.309999 20.440001 150500 20.082979
2015-05-26 20.18 20.58 20.1 20.219999 222100 19.866821
2015-05-27 20.18 20.440001 19.950001 20.27 298400 19.915949
