"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2014-03-19 2.04 2.09 2.04 2.09 300 1.717
2014-03-20 2.09 2.09 2.09 2.09 0 1.717
2014-03-21 2.09 2.09 2.09 2.09 0 1.717
2014-03-24 2.09 2.09 2.09 2.09 0 1.717
2014-03-25 2.09 2.09 2.09 2.09 0 1.717
2014-03-26 2.09 2.09 2.09 2.09 0 1.717
2014-03-27 2.09 2.09 2.09 2.09 0 1.717
2014-03-28 2.09 2.09 2.09 2.09 0 1.717
2014-03-31 2.09 2.09 2.09 2.09 0 1.717
2014-04-01 2.09 2.09 2.09 2.09 0 1.717
2014-04-02 2.09 2.09 2.09 2.09 0 1.717
2014-04-03 2.09 2.09 2.09 2.09 0 1.717
2014-04-04 2.09 2.09 2.09 2.09 0 1.717
2014-04-07 1.94 1.94 1.93 1.93 300 1.5855
2014-04-08 1.99 1.99 1.99 1.99 1000 1.6348
2014-04-09 1.99 1.99 1.99 1.99 0 1.6348
2014-04-10 1.94 1.94 1.94 1.94 200 1.5938
2014-04-11 1.94 1.94 1.94 1.94 100 1.5938
2014-04-14 1.95 2 1.95 1.95 57200 1.602
2014-04-15 2 2 2 2 10000 1.6431
2014-04-16 2 2 2 2 0 1.6431
2014-04-17 2 2 2 2 0 1.6431
2014-04-18 2 2 2 2 0 1.6431
2014-04-21 1.96 2 1.95 2 3800 1.6431
2014-04-22 1.96 1.96 1.91 1.91 3900 1.5691
2014-04-23 1.91 1.91 1.91 1.91 0 1.5691
2014-04-24 1.91 1.91 1.91 1.91 1000 1.5691
2014-04-25 1.91 1.91 1.91 1.91 0 1.5691
2014-04-28 1.91 1.91 1.91 1.91 0 1.5691
2014-04-29 1.91 1.91 1.91 1.91 0 1.5691
2014-04-30 1.91 1.91 1.91 1.91 0 1.5691
2014-05-01 1.91 1.91 1.91 1.91 0 1.5691
2014-05-02 1.91 1.91 1.91 1.91 0 1.5691
2014-05-05 1.96 1.96 1.95 1.95 2000 1.602
2014-05-06 1.9 1.9 1.9 1.9 500 1.5609
2014-05-07 1.9 1.9 1.9 1.9 0 1.5609
2014-05-08 1.96 1.96 1.95 1.95 2500 1.602
2014-05-09 1.95 1.95 1.95 1.95 0 1.602
2014-05-12 1.95 1.95 1.95 1.95 0 1.602
2014-05-13 1.9 1.9 1.75 1.75 29500 1.4377
2014-05-14 1.75 1.75 1.75 1.75 0 1.4377
2014-05-15 1.75 1.75 1.75 1.75 0 1.4377
2014-05-16 1.75 1.75 1.75 1.75 0 1.4377
2014-05-19 1.75 1.75 1.75 1.75 0 1.4377
2014-05-20 1.75 1.75 1.75 1.75 0 1.4377
2014-05-21 1.85 1.85 1.8 1.8 7600 1.4787
2014-05-22 1.8 1.8 1.7 1.7 6300 1.3966
2014-05-23 1.7 1.7 1.7 1.7 0 1.3966
2014-05-26 1.75 1.75 1.7 1.7 600 1.3966
2014-05-27 1.7 1.7 1.7 1.7 0 1.3966
2014-05-28 1.7 1.7 1.7 1.7 0 1.3966
2014-05-29 1.7 1.7 1.7 1.7 0 1.3966
2014-05-30 1.7 1.7 1.7 1.7 0 1.3966
2014-06-02 1.7 1.7 1.7 1.7 0 1.3966
2014-06-03 1.7 1.7 1.7 1.7 0 1.3966
2014-06-04 1.7 1.7 1.7 1.7 0 1.3966
2014-06-05 1.75 1.75 1.69 1.69 20600 1.3884
