"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2013-10-16 83.05 83.05 83.05 83.05 0 83.05
2013-10-17 83.05 83.05 83.05 83.05 0 83.05
2013-10-18 83.05 83.2 83.05 83.2 0 83.2
2013-10-21 83.2 83.21 83.2 83.21 0 83.21
2013-10-22 83.05 83.05 83.05 83.05 0 83.05
2013-10-23 83.2 83.45 83.2 83.2 0 83.2
2013-10-24 83.45 83.45 83.05 83.05 0 83.05
2013-10-25 83.2 83.2 83.1 83.2 0 83.2
2013-10-28 85 85 85 85 0 85
2013-10-29 85 85 85 85 0 85
2013-10-30 85 85 85 85 0 85
2013-10-31 85 85 85 85 0 85
2013-11-01 83.95 83.95 83.95 83.95 0 83.95
2013-11-04 83.95 83.95 83.95 83.95 0 83.95
2013-11-05 83.45 83.45 83.45 83.45 0 83.45
2013-11-06 83.75 83.75 83.75 83.75 0 83.75
2013-11-07 83.75 83.95 83.75 83.95 0 83.95
2013-11-08 83.95 83.95 83.95 83.95 0 83.95
2013-11-11 83.95 83.95 83.95 83.95 0 83.95
2013-11-12 84.05 84.05 84.05 84.05 0 84.05
2013-11-13 84.05 84.05 83.55 83.55 0 83.55
2013-11-14 83.46 84.1 83.46 84.1 0 84.1
2013-11-15 84.1 84.1 84.1 84.1 0 84.1
2013-11-18 84.1 84.1 84.1 84.1 0 84.1
2013-11-19 84.16 84.16 84.16 84.16 0 84.16
2013-11-20 84.36 84.36 84.36 84.36 0 84.36
2013-11-21 84.1 84.12 84.1 84.12 0 84.12
2013-11-22 84.1 84.1 83.86 83.95 0 83.95
2013-11-25 83.95 83.95 83.95 83.95 0 83.95
2013-11-26 83.96 83.96 83.96 83.96 0 83.96
2013-11-27 84.05 84.55 84.05 84.55 0 84.55
2013-11-28 84.06 84.06 84.06 84.06 0 84.06
2013-11-29 84.1 84.1 84.1 84.1 0 84.1
2013-12-02 84.06 84.06 84.06 84.06 0 84.06
2013-12-03 83.56 83.56 83.56 83.56 0 83.56
2013-12-04 83.56 83.56 83.56 83.56 0 83.56
2013-12-05 83.56 83.56 83.56 83.56 0 83.56
2013-12-06 83.4 83.4 83.15 83.15 0 83.15
2013-12-09 83.15 83.15 83.15 83.15 0 83.15
2013-12-10 83.6 83.6 83.6 83.6 0 83.6
2013-12-11 83.66 83.66 83.66 83.66 0 83.66
2013-12-12 83.75 83.75 83.75 83.75 0 83.75
2013-12-13 83.75 83.75 83.75 83.75 0 83.75
2013-12-16 83.8 83.8 83.8 83.8 0 83.8
2013-12-17 83.8 83.8 83.8 83.8 0 83.8
2013-12-18 83.8 83.8 83.8 83.8 0 83.8
2013-12-19 83.8 83.8 83.8 83.8 0 83.8
2013-12-20 83.95 83.95 83.95 83.95 0 83.95
2013-12-23 84.1 84.1 84.1 84.1 0 84.1
2013-12-24 84.1 84.1 84.1 84.1 0 84.1
2013-12-25 84.1 84.1 84.1 84.1 0 84.1
2013-12-26 84.1 84.1 84.1 84.1 0 84.1
2013-12-27 83.8 83.8 83.8 83.8 0 83.8
2013-12-30 83.8 83.8 83.8 83.8 0 83.8
2013-12-31 83.8 83.8 83.8 83.8 0 83.8
2014-01-01 83.8 83.8 83.8 83.8 0 83.8
2014-01-02 83.55 83.55 83.55 83.55 0 83.55
2014-01-03 83.75 83.75 83.75 83.75 0 83.75
2014-01-06 84.3 84.3 84.3 84.3 0 84.3
2014-01-07 83.8 83.8 83.8 83.8 0 83.8
2014-01-08 83.8 83.8 83.8 83.8 0 83.8
2014-01-09 83.8 83.8 83.8 83.8 0 83.8
2014-01-10 83.75 83.75 83.75 83.75 0 83.75
2014-01-13 83.75 83.75 83.75 83.75 0 83.75
2014-01-14 83.75 83.75 83.75 83.75 0 83.75
2014-01-15 84.25 84.5 84 84 1500 84
2014-01-16 84.26 84.26 84.1 84.1 0 84.1
2014-01-17 84.1 84.1 84.1 84.1 0 84.1
2014-01-20 83.6 83.6 83.6 83.6 0 83.6
2014-01-21 83.6 83.6 83.6 83.6 0 83.6
2014-01-22 83.6 83.6 83.31 83.5 0 83.5
2014-01-23 83.55 83.55 83.51 83.51 0 83.51
2014-01-24 83.43 83.43 82.35 82.35 0 82.35
2014-01-27 82.35 82.35 82.35 82.35 0 82.35
2014-01-28 82.35 82.77 82.35 82.77 0 82.77
2014-01-29 82.77 82.88 82.12 82.12 0 82.12
2014-01-30 82.37 82.4 82.3 82.3 0 82.3
2014-01-31 82.3 82.3 82.3 82.3 0 82.3
2014-02-03 82.55 82.55 81.27 81.27 0 81.27
2014-02-04 81.52 81.52 79.02 79.75 0 79.75
2014-02-05 79.76 80.25 79 80.2 0 80.2
2014-02-06 79.75 79.75 78.55 78.55 0 78.55
2014-02-07 77.53 78 77.3 77.63 200 77.63
2014-02-10 77.75 77.75 77.55 77.55 0 77.55
2014-02-11 78 78 78 78 0 78
2014-02-12 77.95 79.49 77.95 79.49 0 79.49
2014-02-13 79.75 79.75 79.75 79.75 0 79.75
2014-02-14 79.75 80.75 79.75 80.75 0 80.75
2014-02-17 80.75 80.75 80.75 80.75 0 80.75
2014-02-18 81.5 81.5 81.5 81.5 0 81.5
2014-02-19 81.25 81.5 81 81 0 81
2014-02-20 81 81 81 81 0 81
2014-02-21 81 81 81 81 0 81
2014-02-24 80 80 80 80 0 80
2014-02-25 80 80 80 80 0 80
2014-02-26 80 82 80 82 100 82
2014-02-27 81.75 82 81.75 82 0 82
2014-02-28 81.75 82.9 81.75 82.5 0 82.5
2014-03-03 82.5 82.5 82.5 82.5 0 82.5
2014-03-04 82.5 82.5 82.5 82.5 0 82.5
2014-03-05 83 83 83 83 0 83
2014-03-06 83.2 84.5 83 84.5 0 84.5
2014-03-07 84.25 85.3 84.25 85.3 0 85.3
2014-03-10 85.05 85.15 84.85 85.15 0 85.15
2014-03-11 83.75 84.73 83.75 84.73 0 84.73
2014-03-12 84.5 84.75 84.5 84.75 0 84.75
