"Index" "PH.Open" "PH.High" "PH.Low" "PH.Close" "PH.Volume" "PH.Adjusted"
2014-05-20 123.470001 123.650002 121.010002 121.260002 928900 117.474703
2014-05-21 121.790001 122.779999 121.419998 122.470001 715000 118.646931
2014-05-22 122.760002 123.989998 121.82 121.879997 793600 118.075345
2014-05-23 121.559998 123.330002 121.559998 123.099998 430400 119.257262
2014-05-27 123.57 125.809998 123.389999 124.790001 918600 120.894508
2014-05-28 125.029999 125.389999 124.25 124.389999 475300 120.506994
2014-05-29 124.75 124.959999 123.360001 124.669998 505700 120.778252
2014-05-30 124.410004 125.470001 123.910004 125.230003 943200 121.320776
2014-06-02 125.580002 126.019997 123.900002 125.760002 758800 121.83423
2014-06-03 125.290001 126.029999 125 125.720001 727900 121.795478
2014-06-04 125.57 126.699997 125.32 125.839996 836500 121.911727
2014-06-05 126.300003 127.540001 125.900002 127.389999 1047200 123.413344
2014-06-06 127.669998 128.330002 127.510002 128.199997 686300 124.198057
2014-06-09 128.130005 130.440002 127.910004 129.410004 686500 125.370291
2014-06-10 128.910004 129.630005 128.190002 129.520004 477400 125.476858
2014-06-11 128.300003 129 127.760002 128.899994 567800 124.876202
2014-06-12 128.460007 128.630005 126.510002 126.82 727600 122.861138
2014-06-13 127.080002 127.68 126.690002 127.169998 380800 123.200211
2014-06-16 126.550003 127.510002 126.309998 127.18 407100 123.209901
2014-06-17 127.150002 128.570007 126.410004 127.239998 713200 123.268025
2014-06-18 127.029999 128.070007 126.129997 127.989998 580200 123.994613
2014-06-19 127.989998 128.009995 125.260002 127.480003 1321500 123.500539
2014-06-20 127.400002 128.279999 127.279999 127.720001 944700 123.733045
2014-06-23 127.779999 127.949997 126.559998 126.989998 837300 123.025829
2014-06-24 126.260002 127.839996 125.440002 125.709999 820600 121.785788
2014-06-25 125.139999 126.309998 124.839996 125.919998 730300 121.989231
2014-06-26 126.18 126.18 124.650002 125.650002 956700 121.727663
2014-06-27 125.160004 126.059998 124.18 125.629997 1473100 121.708283
2014-06-30 125.989998 126.230003 124.699997 125.730003 870800 121.805167
2014-07-01 126.089996 127.18 125.610001 126.870003 840300 122.90958
2014-07-02 126.709999 127.019997 125.760002 126.25 597400 122.308932
2014-07-03 126.82 127.599998 126.629997 127.370003 754900 123.393972
2014-07-07 126.870003 126.940002 125.550003 125.940002 998800 122.008611
2014-07-08 125.669998 125.870003 124.540001 124.739998 715600 120.846066
2014-07-09 125.059998 125.519997 123.980003 124.480003 491300 120.594188
2014-07-10 122.919998 123.25 122.339996 122.779999 852200 118.947251
2014-07-11 122.889999 123.379997 122.050003 123.019997 871700 119.179757
2014-07-14 124.18 124.18 122.860001 123.019997 718500 119.179757
2014-07-15 123.120003 123.82 122.629997 123.489998 1081300 119.635087
2014-07-16 124.080002 124.639999 123.260002 124.620003 806500 120.729817
2014-07-17 123.379997 124 121.730003 121.919998 766800 118.114097
2014-07-18 122.459999 123.779999 122.110001 123.43 874900 119.576962
2014-07-21 123.07 123.580002 122.410004 123.010002 548600 119.170075
2014-07-22 123.879997 124.739998 123.510002 123.620003 529600 119.761033
2014-07-23 123.669998 123.690002 122.769997 123.290001 474600 119.441333
2014-07-24 123.330002 124.029999 123.010002 123.330002 804000 119.480085
2014-07-25 122.949997 123.699997 122.699997 122.93 616100 119.09257
2014-07-28 122.68 122.68 120.57 121.699997 702700 117.900963
2014-07-29 121.220001 121.589996 117.690002 117.739998 1915800 114.064581
2014-07-30 118.099998 118.809998 116.93 117.610001 1449800 113.938642
2014-07-31 116.470001 116.910004 114.889999 114.949997 1357900 111.361674
2014-08-01 114.510002 114.690002 112.769997 114.150002 1712700 110.586651
2014-08-04 114.639999 115.919998 114.309998 115.57 961600 111.962322
2014-08-05 114.730003 116.980003 114.370003 115.019997 1621600 111.429488
2014-08-06 111.639999 111.639999 105.910004 109.550003 5933300 106.130248
2014-08-07 110.349998 111.910004 109.360001 109.849998 2954200 106.420879
2014-08-08 110.300003 111.610001 109.360001 111.559998 1620300 108.077498
2014-08-11 112.559998 112.650002 111.650002 111.760002 892900 108.271259
2014-08-12 111.779999 113.040001 111.5 112.480003 1159900 108.968784
2014-08-13 112.879997 113.480003 112.269997 113.190002 886900 109.65662
2014-08-14 113.410004 113.620003 112.93 113.519997 926100 109.976313
2014-08-15 113.830002 114.019997 112.110001 112.779999 996200 109.259415
2014-08-18 113.349998 114.730003 113.349998 114.57 1053500 110.993539
2014-08-19 114.910004 115.650002 114.790001 115.32 760300 111.720126
2014-08-20 115.459999 118.769997 115.120003 117.800003 1890500 114.122713
2014-08-21 117.739998 117.889999 116.269997 117.050003 1191300 113.396125
2014-08-22 116.760002 117.309998 115.660004 116.150002 810800 112.524219
2014-08-25 116.82 117.190002 116.239998 117.019997 900500 113.367056
2014-08-26 116.470001 117.190002 115.970001 116.040001 859100 112.880672
2014-08-27 116.360001 116.519997 115.419998 115.900002 697500 112.744484
2014-08-28 115.010002 115.190002 114.379997 114.75 1251400 111.625792
2014-08-29 115.190002 115.559998 114.449997 115.5 1398400 112.355373
2014-09-02 115.650002 116.440002 115.330002 116 952500 112.84176
2014-09-03 116.690002 116.730003 115.080002 115.410004 1195800 112.267827
2014-09-04 115.599998 117.209999 115.260002 117.040001 3111900 113.853445
2014-09-05 117.040001 118.129997 116.110001 118.050003 1528300 114.835949
2014-09-08 117.75 117.989998 117.360001 117.580002 1674500 114.378744
2014-09-09 117.589996 119.330002 117.239998 118.389999 1894600 115.166688
2014-09-10 118.25 118.550003 116.910004 118.440002 1308600 115.21533
2014-09-11 117.919998 118.699997 117.709999 118.349998 848500 115.127777
2014-09-12 118.150002 118.709999 117.400002 117.779999 918100 114.573296
2014-09-15 117.470001 117.470001 116.080002 117.099998 832900 113.911809
2014-09-16 116.400002 117.25 115.629997 116.989998 903400 113.804804
2014-09-17 117.480003 118.040001 116.110001 116.610001 763000 113.435152
2014-09-18 116.730003 117.389999 116.459999 117.260002 675000 114.067457
2014-09-19 117.860001 118.220001 116.190002 116.629997 1402500 113.454604
2014-09-22 116.169998 116.370003 114.160004 114.739998 960500 111.616063
2014-09-23 114.169998 114.379997 113.199997 113.690002 1089400 110.594655
2014-09-24 113.470001 114.830002 112.559998 114.639999 979800 111.518787
2014-09-25 113.910004 114.300003 112.839996 112.839996 969000 109.767791
2014-09-26 112.93 114.25 112.330002 113.870003 571100 110.769754
2014-09-29 112.620003 114.089996 112.349998 114.029999 895900 110.925394
2014-09-30 114.260002 114.980003 113.519997 114.150002 1765300 111.04213
2014-10-01 113.68 113.970001 111.370003 111.669998 1379600 108.629647
2014-10-02 111.75 112.269997 110.269997 111.129997 1013700 108.104349
2014-10-03 111.739998 112.559998 111.599998 112.230003 958000 109.174406
2014-10-06 112.75 113.260002 111.410004 112.269997 531900 109.21331
2014-10-07 111.300003 111.529999 109.669998 109.709999 915300 106.723012
2014-10-08 109.93 112.589996 108.989998 112.410004 1198700 109.349505
2014-10-09 112.040001 112.260002 109.410004 109.529999 826600 106.547912
2014-10-10 109.269997 110.089996 107.540001 108.980003 1434300 106.012891
2014-10-13 108.150002 108.550003 102.970001 103.089996 2614200 100.283246
2014-10-14 104.029999 106.970001 103.739998 104.190002 2434500 101.353304
2014-10-15 103.160004 103.330002 99.82 102.959999 3049500 100.156789
2014-10-16 101.709999 105.379997 101.190002 105.099998 2460700 102.238524
2014-10-17 106.300003 108.489998 104.419998 104.419998 1815500 101.577037
2014-10-20 104.519997 107.010002 104.260002 106.830002 1512000 103.921426
2014-10-21 108.260002 111.5 107.889999 111.290001 1233200 108.259996
2014-10-22 111.07 111.610001 108.980003 109.139999 1504700 106.168531
2014-10-23 118.519997 119.849998 115.75 116.389999 2709400 113.221141
2014-10-24 116.260002 116.839996 115.199997 116.57 1283200 113.39624
2014-10-27 116.43 117.629997 115.349998 117.239998 1806500 114.047997
2014-10-28 122.849998 126.040001 121.360001 122.949997 2306500 119.602535
