"Index" "MP.Open" "MP.High" "MP.Low" "MP.Close" "MP.Volume" "MP.Adjusted"
2014-03-19 0.025 0.03 0.025 0.03 28000 0.03
2014-03-20 0.03 0.03 0.03 0.03 0 0.03
2014-03-21 0.03 0.03 0.03 0.03 2000 0.03
2014-03-24 0.03 0.03 0.03 0.03 0 0.03
2014-03-25 0.025 0.04 0.025 0.03 86000 0.03
2014-03-26 0.035 0.035 0.035 0.035 2000 0.035
2014-03-27 0.025 0.025 0.02 0.02 85000 0.02
2014-03-28 0.025 0.025 0.025 0.025 42000 0.025
2014-03-31 0.025 0.025 0.025 0.025 0 0.025
2014-04-01 0.025 0.025 0.025 0.025 0 0.025
2014-04-02 0.025 0.025 0.025 0.025 0 0.025
2014-04-03 0.025 0.025 0.025 0.025 0 0.025
2014-04-04 0.025 0.025 0.025 0.025 0 0.025
2014-04-07 0.03 0.03 0.03 0.03 10000 0.03
2014-04-08 0.03 0.03 0.03 0.03 0 0.03
2014-04-09 0.03 0.03 0.03 0.03 0 0.03
2014-04-10 0.03 0.03 0.03 0.03 0 0.03
2014-04-11 0.03 0.03 0.03 0.03 0 0.03
2014-04-14 0.03 0.03 0.03 0.03 0 0.03
2014-04-15 0.03 0.03 0.03 0.03 0 0.03
2014-04-16 0.03 0.03 0.03 0.03 0 0.03
2014-04-17 0.03 0.03 0.03 0.03 0 0.03
2014-04-18 0.03 0.03 0.03 0.03 0 0.03
2014-04-21 0.03 0.03 0.03 0.03 0 0.03
2014-04-22 0.03 0.03 0.03 0.03 0 0.03
2014-04-23 0.03 0.03 0.03 0.03 0 0.03
2014-04-24 0.03 0.03 0.025 0.025 20500 0.025
2014-04-25 0.025 0.025 0.025 0.025 0 0.025
2014-04-28 0.03 0.03 0.03 0.03 6000 0.03
2014-04-29 0.03 0.03 0.03 0.03 0 0.03
2014-04-30 0.03 0.03 0.03 0.03 0 0.03
2014-05-01 0.03 0.03 0.03 0.03 0 0.03
2014-05-02 0.025 0.025 0.025 0.025 5000 0.025
2014-05-05 0.025 0.025 0.025 0.025 0 0.025
2014-05-06 0.025 0.025 0.025 0.025 0 0.025
2014-05-07 0.025 0.025 0.02 0.02 23000 0.02
2014-05-08 0.02 0.02 0.02 0.02 0 0.02
2014-05-09 0.02 0.02 0.02 0.02 0 0.02
2014-05-12 0.02 0.02 0.02 0.02 6000 0.02
2014-05-13 0.02 0.02 0.02 0.02 0 0.02
2014-05-14 0.02 0.02 0.02 0.02 0 0.02
2014-05-15 0.02 0.02 0.02 0.02 0 0.02
2014-05-16 0.03 0.03 0.025 0.03 57000 0.03
2014-05-19 0.03 0.03 0.03 0.03 0 0.03
2014-05-20 0.03 0.03 0.03 0.03 0 0.03
2014-05-21 0.035 0.05 0.035 0.05 111000 0.05
2014-05-22 0.05 0.05 0.05 0.05 0 0.05
2014-05-23 0.025 0.035 0.025 0.035 58900 0.035
2014-05-26 0.035 0.035 0.035 0.035 0 0.035
2014-05-27 0.04 0.045 0.04 0.045 14100 0.045
2014-05-28 0.04 0.045 0.04 0.045 20000 0.045
2014-05-29 0.045 0.045 0.045 0.045 0 0.045
2014-05-30 0.03 0.04 0.03 0.04 48000 0.04
2014-06-02 0.03 0.03 0.03 0.03 6900 0.03
2014-06-03 0.035 0.04 0.035 0.04 49000 0.04
2014-06-04 0.04 0.04 0.04 0.04 0 0.04
2014-06-05 0.04 0.04 0.04 0.04 0 0.04
2014-06-06 0.04 0.04 0.04 0.04 0 0.04
2014-06-09 0.04 0.04 0.04 0.04 0 0.04
2014-06-10 0.04 0.04 0.04 0.04 0 0.04
2014-06-11 0.04 0.04 0.04 0.04 0 0.04
2014-06-12 0.04 0.04 0.04 0.04 0 0.04
2014-06-13 0.04 0.04 0.04 0.04 0 0.04
2014-06-16 0.04 0.04 0.04 0.04 0 0.04
2014-06-17 0.04 0.04 0.04 0.04 0 0.04
2014-06-18 0.035 0.035 0.035 0.035 16500 0.035
2014-06-19 0.035 0.035 0.035 0.035 0 0.035
2014-06-20 0.04 0.04 0.04 0.04 8000 0.04
2014-06-23 0.04 0.04 0.04 0.04 8000 0.04
2014-06-24 0.04 0.04 0.04 0.04 0 0.04
2014-06-25 0.03 0.03 0.03 0.03 8000 0.03
2014-06-26 0.03 0.03 0.03 0.03 0 0.03
2014-06-27 0.035 0.035 0.035 0.035 10000 0.035
2014-06-30 0.035 0.035 0.035 0.035 0 0.035
2014-07-01 0.035 0.035 0.035 0.035 0 0.035
2014-07-02 0.035 0.035 0.035 0.035 0 0.035
2014-07-03 0.035 0.035 0.035 0.035 0 0.035
2014-07-04 0.035 0.035 0.035 0.035 0 0.035
2014-07-07 0.035 0.035 0.035 0.035 0 0.035
2014-07-08 0.03 0.03 0.03 0.03 9300 0.03
2014-07-09 0.03 0.03 0.03 0.03 5900 0.03
2014-07-10 0.03 0.03 0.03 0.03 0 0.03
2014-07-11 0.03 0.03 0.03 0.03 0 0.03
2014-07-14 0.03 0.03 0.03 0.03 0 0.03
2014-07-15 0.025 0.025 0.025 0.025 8500 0.025
2014-07-16 0.025 0.025 0.025 0.025 0 0.025
2014-07-17 0.03 0.03 0.025 0.025 7000 0.025
2014-07-18 0.025 0.025 0.025 0.025 0 0.025
2014-07-21 0.025 0.025 0.02 0.02 99400 0.02
2014-07-22 0.02 0.02 0.02 0.02 0 0.02
2014-07-23 0.02 0.02 0.02 0.02 0 0.02
2014-07-24 0.02 0.02 0.02 0.02 0 0.02
2014-07-25 0.025 0.025 0.025 0.025 135000 0.025
2014-07-28 0.025 0.025 0.025 0.025 0 0.025
2014-07-29 0.025 0.025 0.025 0.025 0 0.025
2014-07-30 0.025 0.025 0.025 0.025 0 0.025
2014-07-31 0.025 0.025 0.025 0.025 0 0.025
2014-08-01 0.025 0.025 0.025 0.025 12000 0.025
2014-08-04 0.025 0.025 0.025 0.025 0 0.025
2014-08-05 0.025 0.025 0.025 0.025 0 0.025
2014-08-06 0.025 0.025 0.025 0.025 0 0.025
2014-08-07 0.025 0.025 0.025 0.025 0 0.025
2014-08-08 0.025 0.025 0.025 0.025 0 0.025
2014-08-11 0.025 0.025 0.025 0.025 0 0.025
2014-08-12 0.025 0.025 0.02 0.02 59000 0.02
2014-08-13 0.02 0.02 0.02 0.02 0 0.02
2014-08-14 0.02 0.02 0.02 0.02 0 0.02
2014-08-15 0.02 0.02 0.02 0.02 0 0.02
2014-08-18 0.02 0.02 0.02 0.02 26000 0.02
2014-08-19 0.02 0.02 0.02 0.02 0 0.02
2014-08-20 0.02 0.02 0.02 0.02 0 0.02
2014-08-21 0.02 0.02 0.02 0.02 38000 0.02
2014-08-22 0.015 0.025 0.015 0.025 85200 0.025
2014-08-25 0.025 0.025 0.025 0.025 25000 0.025
2014-08-26 0.02 0.02 0.02 0.02 15000 0.02
2014-08-27 0.02 0.02 0.015 0.015 35900 0.015
2014-08-28 0.015 0.015 0.015 0.015 5000 0.015
2014-08-29 0.015 0.015 0.015 0.015 8000 0.015
2014-09-01 0.015 0.015 0.015 0.015 0 0.015
2014-09-02 0.015 0.015 0.015 0.015 2000 0.015
2014-09-03 0.015 0.015 0.015 0.015 0 0.015
2014-09-04 0.015 0.015 0.015 0.015 25000 0.015
2014-09-05 0.015 0.015 0.015 0.015 0 0.015
2014-09-08 0.015 0.015 0.01 0.01 227300 0.01
2014-09-09 0.01 0.01 0.01 0.01 40000 0.01
2014-09-10 0.01 0.01 0.01 0.01 0 0.01
2014-09-11 0.01 0.01 0.01 0.01 66000 0.01
2014-09-12 0.01 0.01 0.01 0.01 0 0.01
2014-09-15 0.01 0.01 0.01 0.01 55000 0.01
2014-09-16 0.015 0.015 0.015 0.015 8000 0.015
2014-09-17 0.01 0.01 0.01 0.01 13500 0.01
2014-09-18 0.01 0.01 0.01 0.01 15000 0.01
2014-09-19 0.01 0.015 0.01 0.015 224400 0.015
2014-09-22 0.015 0.015 0.015 0.015 0 0.015
2014-09-23 0.015 0.015 0.015 0.015 0 0.015
2014-09-24 0.015 0.015 0.015 0.015 0 0.015
2014-09-25 0.01 0.01 0.01 0.01 69000 0.01
2014-09-26 0.01 0.01 0.01 0.01 0 0.01
2014-09-29 0.01 0.01 0.01 0.01 0 0.01
2014-09-30 0.015 0.015 0.01 0.01 102500 0.01
2014-10-01 0.01 0.01 0.01 0.01 0 0.01
2014-10-02 0.01 0.01 0.01 0.01 0 0.01
2014-10-03 0.01 0.01 0.01 0.01 0 0.01
2014-10-06 0.01 0.01 0.01 0.01 322000 0.01
2014-10-07 0.005 0.01 0.005 0.01 70500 0.01
2014-10-08 0.01 0.01 0.01 0.01 0 0.01
2014-10-09 0.01 0.01 0.01 0.01 0 0.01
2014-10-10 0.01 0.01 0.01 0.01 0 0.01
2014-10-13 0.01 0.01 0.01 0.01 0 0.01
2014-10-14 0.005 0.005 0.005 0.005 1715000 0.005
2014-10-15 0.005 0.005 0.005 0.005 1162500 0.005
