"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2014-06-20 2.16 2.18 2.11 2.11 55600 2.11
2014-06-23 2.1 2.17 2.1 2.13 47400 2.13
2014-06-24 2.15 2.17 2.05 2.07 40500 2.07
2014-06-25 2.09 2.17 2.06 2.07 29000 2.07
2014-06-26 2.05 2.15 2.02 2.05 36500 2.05
2014-06-27 2.02 2.07 2.02 2.07 70600 2.07
2014-06-30 2.1 2.15 2.06 2.07 25800 2.07
2014-07-01 2.08 2.1 2.01 2.01 40400 2.01
2014-07-02 2.01 2.08 2.01 2.05 26800 2.05
2014-07-03 2.03 2.05 2.01 2.01 17700 2.01
2014-07-07 2.03 2.05 1.99 2 74300 2
2014-07-08 2 2.05 1.98 1.98 37400 1.98
2014-07-09 1.98 2.03 1.98 2.01 26300 2.01
2014-07-10 1.98 2.03 1.91 1.91 92200 1.91
2014-07-11 1.95 1.99 1.91 1.92 34700 1.92
2014-07-14 1.94 2 1.92 1.97 26600 1.97
2014-07-15 1.98 2 1.92 1.95 36300 1.95
2014-07-16 1.95 1.95 1.92 1.95 31300 1.95
2014-07-17 1.92 1.99 1.91 1.91 44800 1.91
2014-07-18 1.95 1.99 1.92 1.98 49700 1.98
2014-07-21 1.95 2.06 1.95 2.04 107900 2.04
2014-07-22 2.07 2.1 1.9 1.91 139800 1.91
2014-07-23 1.98 1.98 1.91 1.94 36100 1.94
2014-07-24 1.94 2 1.94 1.95 38700 1.95
2014-07-25 1.92 2 1.92 1.95 19200 1.95
2014-07-28 1.97 2 1.93 1.94 32400 1.94
2014-07-29 1.95 1.95 1.92 1.92 15500 1.92
2014-07-30 1.92 1.95 1.92 1.93 13100 1.93
2014-07-31 1.93 1.95 1.92 1.94 29100 1.94
2014-08-01 1.95 1.95 1.9 1.9 48400 1.9
2014-08-04 1.94 1.95 1.9 1.91 46800 1.91
2014-08-05 1.88 1.9 1.82 1.83 76300 1.83
2014-08-06 1.81 1.95 1.81 1.9 39900 1.9
2014-08-07 1.88 1.95 1.86 1.93 22300 1.93
2014-08-08 1.91 1.97 1.9 1.96 31800 1.96
2014-08-11 1.92 1.98 1.91 1.97 41800 1.97
2014-08-12 1.98 1.98 1.91 1.93 20900 1.93
2014-08-13 1.91 1.97 1.91 1.93 26500 1.93
2014-08-14 1.95 1.96 1.92 1.93 16300 1.93
2014-08-15 1.92 1.94 1.92 1.92 11400 1.92
2014-08-18 1.9 1.94 1.9 1.92 25300 1.92
2014-08-19 1.92 1.93 1.88 1.9 18100 1.9
2014-08-20 1.9 1.92 1.9 1.9 5100 1.9
2014-08-21 1.93 1.93 1.9 1.9 7600 1.9
2014-08-22 1.9 1.92 1.9 1.9 22900 1.9
2014-08-25 1.92 1.94 1.9 1.92 39200 1.92
2014-08-26 1.9 1.94 1.9 1.9 40600 1.9
2014-08-27 1.9 1.92 1.9 1.91 24600 1.91
2014-08-28 1.92 1.92 1.9 1.92 25100 1.92
2014-08-29 1.93 1.94 1.9 1.91 27300 1.91
2014-09-02 1.91 1.94 1.91 1.93 14500 1.93
2014-09-03 1.9 1.94 1.9 1.9 33100 1.9
2014-09-04 1.9 1.91 1.9 1.91 15500 1.91
2014-09-05 1.94 1.94 1.89 1.9 31600 1.9
2014-09-08 1.87 1.87 1.83 1.83 50600 1.83
2014-09-09 1.82 1.85 1.82 1.82 31400 1.82
2014-09-10 1.83 1.93 1.82 1.84 40800 1.84
2014-09-11 1.85 1.85 1.79 1.79 75000 1.79
2014-09-12 1.82 1.85 1.79 1.8 31100 1.8
2014-09-15 1.77 1.85 1.77 1.77 22000 1.77
2014-09-16 1.8 1.8 1.77 1.77 15900 1.77
2014-09-17 1.78 1.8 1.77 1.79 37400 1.79
2014-09-18 1.8 1.8 1.78 1.8 22900 1.8
2014-09-19 1.8 1.8 1.77 1.8 77900 1.8
2014-09-22 1.8 1.81 1.7 1.72 143500 1.72
2014-09-23 1.75 1.77 1.7 1.72 35500 1.72
2014-09-24 1.72 1.72 1.56 1.56 139200 1.56
2014-09-25 1.57 1.57 1.5 1.55 45900 1.55
2014-09-26 1.57 1.69 1.57 1.62 55600 1.62
2014-09-29 1.62 1.7 1.62 1.65 38100 1.65
2014-09-30 1.65 1.72 1.62 1.72 84900 1.72
2014-10-01 1.7 1.76 1.66 1.67 29400 1.67
2014-10-02 1.67 1.7 1.65 1.65 19900 1.65
2014-10-03 1.65 1.69 1.65 1.65 31100 1.65
2014-10-06 1.63 1.7 1.63 1.65 30300 1.65
2014-10-07 1.62 1.68 1.62 1.63 20500 1.63
2014-10-08 1.64 1.64 1.62 1.62 52200 1.62
2014-10-09 1.6 1.63 1.58 1.58 37700 1.58
2014-10-10 1.52 1.62 1.52 1.54 68500 1.54
2014-10-13 1.53 1.62 1.51 1.53 16900 1.53
2014-10-14 1.52 1.59 1.52 1.54 44600 1.54
2014-10-15 1.58 1.82 1.55 1.81 124200 1.81
2014-10-16 1.64 1.91 1.58 1.61 91900 1.61
2014-10-17 1.72 1.8 1.65 1.69 155800 1.69
2014-10-20 1.77 1.87 1.7 1.81 73900 1.81
2014-10-21 1.77 1.88 1.67 1.79 45300 1.79
2014-10-22 1.84 1.85 1.76 1.77 31400 1.77
2014-10-23 1.8 1.85 1.77 1.78 37800 1.78
2014-10-24 1.75 1.85 1.75 1.78 17900 1.78
2014-10-27 1.83 1.84 1.74 1.79 29900 1.79
2014-10-28 1.77 1.77 1.72 1.74 22900 1.74
2014-10-29 1.74 1.84 1.73 1.75 16700 1.75
2014-10-30 1.71 1.75 1.7 1.72 13200 1.72
2014-10-31 1.73 1.74 1.68 1.74 16200 1.74
2014-11-03 1.74 1.75 1.7 1.7 36000 1.7
2014-11-04 1.7 1.75 1.68 1.69 40900 1.69
2014-11-05 1.68 1.75 1.68 1.72 5200 1.72
2014-11-06 1.75 1.75 1.7 1.7 12400 1.7
2014-11-07 1.72 1.75 1.69 1.75 29100 1.75
2014-11-10 1.73 1.75 1.69 1.74 29000 1.74
2014-11-11 1.75 1.75 1.62 1.65 23200 1.65
2014-11-12 1.69 1.75 1.67 1.68 23300 1.68
