"Index" "NRS.Open" "NRS.High" "NRS.Low" "NRS.Close" "NRS.Volume" "NRS.Adjusted"
2014-02-26 0.399 0.399 0.399 0.399 0 0.399
2014-02-27 0.401 0.401 0.401 0.401 0 0.401
2014-02-28 0.401 0.401 0.401 0.401 0 0.401
2014-03-03 0.398 0.398 0.398 0.398 0 0.398
2014-03-04 0.396 0.396 0.396 0.396 0 0.396
2014-03-05 0.398 0.398 0.398 0.398 0 0.398
2014-03-06 0.397 0.397 0.397 0.397 0 0.397
2014-03-07 0.398 0.398 0.398 0.398 0 0.398
2014-03-10 0.398 0.398 0.398 0.398 0 0.398
2014-03-11 0.397 0.397 0.397 0.397 0 0.397
2014-03-12 0.397 0.397 0.397 0.397 0 0.397
2014-03-13 0.398 0.398 0.398 0.398 0 0.398
2014-03-14 0.397 0.397 0.397 0.397 0 0.397
2014-03-17 0.396 0.396 0.396 0.396 0 0.396
2014-03-18 0.399 0.399 0.399 0.399 0 0.399
2014-03-19 0.397 0.397 0.397 0.397 0 0.397
2014-03-20 0.396 0.396 0.396 0.396 0 0.396
2014-03-21 0.397 0.397 0.397 0.397 0 0.397
2014-03-24 0.398 0.398 0.398 0.398 0 0.398
2014-03-25 0.398 0.398 0.398 0.398 0 0.398
2014-03-26 0.399 0.399 0.399 0.399 0 0.399
2014-03-27 0.399 0.399 0.399 0.399 0 0.399
2014-03-28 0.399 0.399 0.399 0.399 0 0.399
2014-03-31 0.399 0.399 0.399 0.399 0 0.399
2014-04-01 0.396 0.396 0.396 0.396 0 0.396
2014-04-02 0.398 0.398 0.398 0.398 0 0.398
2014-04-03 0.407 0.407 0.407 0.407 0 0.407
2014-04-04 0.399 0.399 0.399 0.399 0 0.399
2014-04-07 0.402 0.402 0.402 0.402 0 0.402
2014-04-08 0.402 0.402 0.402 0.402 0 0.402
2014-04-09 0.415 0.415 0.415 0.415 0 0.415
2014-04-10 0.414 0.414 0.414 0.414 0 0.414
2014-04-11 0.408 0.408 0.408 0.408 0 0.408
2014-04-14 0.403 0.403 0.403 0.403 0 0.403
2014-04-15 0.403 0.403 0.403 0.403 0 0.403
2014-04-16 0.405 0.405 0.405 0.405 0 0.405
2014-04-17 0.41 0.41 0.41 0.41 0 0.41
2014-04-18 0.41 0.41 0.41 0.41 0 0.41
2014-04-21 0.41 0.41 0.41 0.41 0 0.41
