"Index" "PLE.Open" "PLE.High" "PLE.Low" "PLE.Close" "PLE.Volume" "PLE.Adjusted"
2015-09-21 0.74 0.74 0.69 0.69 1600 0.69
2015-09-22 0.67 0.74 0.65 0.69 10700 0.69
2015-09-23 0.69 0.69 0.65 0.69 5200 0.69
2015-09-24 0.69 0.69 0.69 0.69 0 0.69
2015-09-25 0.69 0.69 0.69 0.69 0 0.69
2015-09-28 0.71 0.71 0.65 0.68 6000 0.68
2015-09-29 0.68 0.68 0.68 0.68 0 0.68
2015-09-30 0.7 0.7 0.7 0.7 100 0.7
2015-10-01 0.7 0.7 0.7 0.7 0 0.7
2015-10-02 0.7 0.7 0.7 0.7 100 0.7
2015-10-05 0.7 0.7 0.7 0.7 0 0.7
2015-10-06 0.7 0.7 0.64 0.64 400 0.64
2015-10-07 0.68 0.68 0.58 0.65 6700 0.65
2015-10-08 0.6 0.6 0.49 0.49 27400 0.49
2015-10-09 0.56 0.56 0.45 0.48 14500 0.48
2015-10-12 0.49 0.55 0.49 0.55 700 0.55
2015-10-13 0.52 0.52 0.45 0.45 8900 0.45
2015-10-14 0.45 0.47 0.44 0.47 9200 0.47
2015-10-15 0.47 0.47 0.47 0.47 0 0.47
2015-10-16 0.48 0.5 0.45 0.46 1900 0.46
2015-10-19 0.46 0.48 0.37 0.37 34700 0.37
2015-10-20 0.39 0.43 0.35 0.35 3700 0.35
2015-10-21 0.4 0.43 0.4 0.43 400 0.43
2015-10-22 0.4 0.4 0.38 0.38 2000 0.38
2015-10-23 0.38 0.39 0.38 0.38 1500 0.38
2015-10-26 0.4 0.42 0.35 0.42 2400 0.42
2015-10-27 0.42 0.42 0.42 0.42 0 0.42
2015-10-28 0.4 0.41 0.35 0.35 2800 0.35
2015-10-29 0.37 0.4 0.37 0.4 600 0.4
2015-10-30 0.4 0.4 0.4 0.4 0 0.4
