"Index" "HH.Open" "HH.High" "HH.Low" "HH.Close" "HH.Volume" "HH.Adjusted"
2014-05-14 0.7 0.72 0.67 0.68 534500 0.68
2014-05-15 0.68 0.68 0.66 0.66 59000 0.66
2014-05-16 0.66 0.67 0.66 0.66 31400 0.66
2014-05-19 0.66 0.67 0.64 0.67 50200 0.67
2014-05-20 0.66 0.67 0.64 0.65 256600 0.65
2014-05-21 0.65 0.68 0.65 0.67 92000 0.67
2014-05-22 0.68 0.69 0.65 0.67 160400 0.67
2014-05-23 0.65 0.68 0.65 0.66 69400 0.66
2014-05-27 0.67 0.73 0.66 0.73 1164500 0.73
2014-05-28 0.73 0.75 0.69 0.73 1462700 0.73
2014-05-29 0.74 0.74 0.68 0.73 247400 0.73
2014-05-30 0.76 0.77 0.68 0.7 513800 0.7
2014-06-02 0.73 0.73 0.68 0.69 238500 0.69
2014-06-03 0.7 0.7 0.68 0.68 72100 0.68
2014-06-04 0.68 0.7 0.67 0.67 65900 0.67
2014-06-05 0.72 0.73 0.69 0.7 162500 0.7
2014-06-06 0.7 0.7 0.68 0.68 85500 0.68
2014-06-09 0.69 0.69 0.61 0.65 257000 0.65
2014-06-10 0.68 0.68 0.63 0.65 36200 0.65
2014-06-11 0.66 0.67 0.65 0.66 63700 0.66
2014-06-12 0.64 0.68 0.64 0.68 92200 0.68
2014-06-13 0.66 0.68 0.63 0.68 98100 0.68
2014-06-16 0.67 0.69 0.65 0.67 53700 0.67
2014-06-17 0.67 0.69 0.65 0.69 31800 0.69
2014-06-18 0.64 0.68 0.64 0.68 67700 0.68
2014-06-19 0.67 0.68 0.67 0.67 42700 0.67
2014-06-20 0.68 0.68 0.66 0.68 60600 0.68
2014-06-23 0.68 0.72 0.66 0.69 347600 0.69
2014-06-24 0.71 0.71 0.67 0.69 141100 0.69
2014-06-25 0.7 0.74 0.69 0.73 427000 0.73
2014-06-26 0.74 0.75 0.71 0.73 191000 0.73
2014-06-27 0.75 0.75 0.72 0.75 90600 0.75
2014-06-30 0.75 0.76 0.73 0.75 64500 0.75
2014-07-01 0.76 0.76 0.73 0.75 146000 0.75
2014-07-02 0.75 0.82 0.74 0.79 489800 0.79
2014-07-03 0.83 0.83 0.75 0.76 352600 0.76
2014-07-07 0.78 0.78 0.75 0.78 116000 0.78
2014-07-08 0.75 0.79 0.73 0.76 94100 0.76
2014-07-09 0.77 0.78 0.73 0.78 60600 0.78
2014-07-10 0.77 0.79 0.76 0.78 33600 0.78
2014-07-11 0.8 0.8 0.77 0.79 24600 0.79
2014-07-14 0.82 0.82 0.79 0.79 83100 0.79
2014-07-15 0.8 0.82 0.78 0.8 60200 0.8
2014-07-16 0.8 0.83 0.76 0.8 105600 0.8
2014-07-17 0.83 0.83 0.77 0.79 266900 0.79
2014-07-18 0.78 0.82 0.76 0.77 149400 0.77
2014-07-21 0.8 0.8 0.77 0.79 38300 0.79
2014-07-22 0.8 0.8 0.77 0.78 39600 0.78
2014-07-23 0.78 0.8 0.78 0.78 49200 0.78
2014-07-24 0.78 0.79 0.76 0.77 30300 0.77
2014-07-25 0.77 0.8 0.77 0.79 27000 0.79
2014-07-28 0.77 0.79 0.75 0.77 79400 0.77
2014-07-29 0.76 0.77 0.74 0.75 155900 0.75
2014-07-30 0.75 0.75 0.7 0.73 312000 0.73
2014-07-31 0.73 0.73 0.67 0.69 465600 0.69
2014-08-01 0.67 0.7 0.66 0.66 80100 0.66
2014-08-04 0.66 0.73 0.66 0.71 132300 0.71
2014-08-05 0.68 0.73 0.67 0.72 83200 0.72
2014-08-06 0.72 0.72 0.72 0.72 47300 0.72
2014-08-07 0.73 0.73 0.7 0.72 123900 0.72
2014-08-08 0.71 0.73 0.68 0.73 123400 0.73
2014-08-11 0.73 0.73 0.7 0.73 2400 0.73
2014-08-12 0.73 0.73 0.7 0.7 396900 0.7
2014-08-13 0.71 0.72 0.67 0.69 131200 0.69
2014-08-14 0.68 0.71 0.65 0.67 187700 0.67
2014-08-15 0.66 0.68 0.66 0.67 64400 0.67
2014-08-18 0.67 0.69 0.65 0.66 105900 0.66
2014-08-19 0.66 0.69 0.66 0.68 59800 0.68
2014-08-20 0.68 0.69 0.66 0.69 75600 0.69
2014-08-21 0.68 0.69 0.68 0.69 7200 0.69
2014-08-22 0.67 0.71 0.67 0.7 18800 0.7
2014-08-25 0.69 0.72 0.69 0.72 114600 0.72
2014-08-26 0.72 0.73 0.68 0.71 91900 0.71
2014-08-27 0.71 0.73 0.7 0.71 61700 0.71
2014-08-28 0.69 0.7 0.66 0.7 164900 0.7
2014-08-29 0.69 0.69 0.67 0.67 66500 0.67
2014-09-02 0.67 0.68 0.66 0.66 39800 0.66
2014-09-03 0.69 0.69 0.67 0.67 58400 0.67
2014-09-04 0.66 0.68 0.66 0.67 73800 0.67
2014-09-05 0.67 0.68 0.67 0.67 22300 0.67
2014-09-08 0.68 0.68 0.66 0.68 70400 0.68
2014-09-09 0.67 0.68 0.66 0.67 61000 0.67
2014-09-10 0.66 0.68 0.65 0.67 143200 0.67
2014-09-11 0.65 0.67 0.63 0.64 128600 0.64
2014-09-12 0.64 0.65 0.62 0.63 52400 0.63
2014-09-15 0.6 0.64 0.58 0.59 228500 0.59
2014-09-16 0.57 0.6 0.55 0.6 82900 0.6
2014-09-17 0.57 0.64 0.57 0.61 21000 0.61
2014-09-18 0.62 0.62 0.58 0.59 24800 0.59
2014-09-19 0.59 0.62 0.56 0.56 207200 0.56
2014-09-22 0.56 0.6 0.55 0.59 165600 0.59
2014-09-23 0.62 0.66 0.61 0.63 278100 0.63
2014-09-24 0.65 0.66 0.64 0.65 134000 0.65
2014-09-25 0.64 0.64 0.6 0.61 197100 0.61
2014-09-26 0.62 0.64 0.58 0.59 163700 0.59
2014-09-29 0.58 0.63 0.58 0.63 73700 0.63
2014-09-30 0.63 0.63 0.6 0.61 48400 0.61
2014-10-01 0.6 0.64 0.59 0.63 31300 0.63
2014-10-02 0.65 0.65 0.59 0.6 54600 0.6
2014-10-03 0.6 0.62 0.59 0.59 61900 0.59
2014-10-06 0.59 0.61 0.56 0.57 113000 0.57
2014-10-07 0.6 0.6 0.54 0.55 361900 0.55
2014-10-08 0.55 0.6 0.52 0.56 211800 0.56
2014-10-09 0.56 0.57 0.52 0.56 62200 0.56
2014-10-10 0.54 0.56 0.54 0.55 26000 0.55
2014-10-13 0.53 0.55 0.52 0.54 30600 0.54
2014-10-14 0.52 0.56 0.51 0.56 69300 0.56
2014-10-15 0.56 0.56 0.5 0.53 130800 0.53
2014-10-16 0.51 0.56 0.51 0.56 11500 0.56
2014-10-17 0.51 0.55 0.48 0.52 209900 0.52
2014-10-20 0.5 0.53 0.5 0.53 68900 0.53
2014-10-21 0.51 0.56 0.51 0.56 88400 0.56
2014-10-22 0.53 0.59 0.53 0.58 114900 0.58
2014-10-23 0.6 0.6 0.55 0.56 25500 0.56
2014-10-24 0.59 0.59 0.56 0.56 90200 0.56
2014-10-27 0.59 0.64 0.54 0.6 304700 0.6
2014-10-28 0.6 0.61 0.56 0.6 450600 0.6
2014-10-29 0.57 0.6 0.57 0.59 83400 0.59
2014-10-30 0.6 0.6 0.55 0.55 161300 0.55
2014-10-31 0.57 0.6 0.54 0.55 239200 0.55
2014-11-03 0.54 0.6 0.54 0.59 74000 0.59
2014-11-04 0.6 0.6 0.57 0.57 38700 0.57
2014-11-05 0.58 0.6 0.57 0.57 56700 0.57
2014-11-06 0.58 0.6 0.53 0.55 264700 0.55
2014-11-07 0.56 0.58 0.55 0.58 68000 0.58
2014-11-10 0.6 0.6 0.56 0.59 99800 0.59
2014-11-11 0.6 0.6 0.56 0.56 35400 0.56
2014-11-12 0.56 0.6 0.55 0.56 73100 0.56
2014-11-13 0.6 0.63 0.58 0.59 398300 0.59
2014-11-14 0.59 0.59 0.56 0.58 102800 0.58
2014-11-17 0.55 0.58 0.55 0.56 212500 0.56
2014-11-18 0.58 0.58 0.56 0.56 80300 0.56
2014-11-19 0.55 0.57 0.55 0.57 2100 0.57
2014-11-20 0.56 0.59 0.55 0.55 171700 0.55
2014-11-21 0.55 0.58 0.52 0.56 149000 0.56
2014-11-24 0.54 0.6 0.54 0.55 159400 0.55
2014-11-25 0.56 0.57 0.55 0.57 60900 0.57
2014-11-26 0.56 0.59 0.55 0.56 201200 0.56
2014-11-28 0.56 0.58 0.55 0.55 26300 0.55
2014-12-01 0.59 0.59 0.51 0.54 80900 0.54
2014-12-02 0.53 0.57 0.52 0.52 322400 0.52
2014-12-03 0.53 0.55 0.52 0.54 22600 0.54
2014-12-04 0.52 0.55 0.52 0.53 95300 0.53
2014-12-05 0.54 0.55 0.51 0.52 206500 0.52
2014-12-08 0.51 0.54 0.49 0.5 302600 0.5
2014-12-09 0.53 0.54 0.51 0.53 17200 0.53
2014-12-10 0.5 0.53 0.49 0.49 182100 0.49
2014-12-11 0.49 0.53 0.49 0.51 221100 0.51
2014-12-12 0.5 0.51 0.5 0.5 69300 0.5
2014-12-15 0.5 0.51 0.5 0.51 84100 0.51
2014-12-16 0.49 0.51 0.49 0.5 122300 0.5
2014-12-17 0.5 0.52 0.5 0.52 59900 0.52
2014-12-18 0.52 0.53 0.49 0.53 146600 0.53
2014-12-19 0.5 0.53 0.5 0.5 84000 0.5
2014-12-22 0.49 0.53 0.49 0.52 123300 0.52
2014-12-23 0.5 0.53 0.5 0.53 6600 0.53
2014-12-24 0.53 0.53 0.53 0.53 400 0.53
2014-12-26 0.53 0.53 0.52 0.52 14700 0.52
2014-12-29 0.49 0.53 0.49 0.52 110900 0.52
2014-12-30 0.51 0.53 0.5 0.52 70800 0.52
2014-12-31 0.52 0.52 0.51 0.52 43100 0.52
2015-01-02 0.5 0.53 0.5 0.51 64200 0.51
2015-01-05 0.5 0.51 0.5 0.51 123000 0.51
2015-01-06 0.51 0.51 0.49 0.51 137000 0.51
2015-01-07 0.5 0.5 0.44 0.5 228400 0.5
2015-01-08 0.51 0.51 0.48 0.51 117600 0.51
2015-01-09 0.48 0.51 0.47 0.5 57500 0.5
2015-01-12 0.49 0.5 0.47 0.5 69200 0.5
2015-01-13 0.48 0.5 0.48 0.49 60000 0.49
2015-01-14 0.49 0.49 0.45 0.49 95700 0.49
2015-01-15 0.49 0.49 0.45 0.46 94500 0.46
2015-01-16 0.46 0.49 0.46 0.46 87300 0.46
2015-01-20 0.44 0.48 0.44 0.46 72900 0.46
2015-01-21 0.46 0.49 0.46 0.49 3400 0.49
2015-01-22 0.49 0.49 0.47 0.48 44000 0.48
2015-01-23 0.46 0.49 0.46 0.48 30400 0.48
2015-01-26 0.48 0.49 0.48 0.49 25100 0.49
2015-01-27 0.48 0.49 0.47 0.48 15500 0.48
2015-01-28 0.47 0.49 0.47 0.49 11900 0.49
2015-01-29 0.47 0.49 0.47 0.48 36900 0.48
2015-01-30 0.46 0.49 0.46 0.48 51300 0.48
2015-02-02 0.47 0.49 0.47 0.48 28000 0.48
