"Index" "ME.Open" "ME.High" "ME.Low" "ME.Close" "ME.Volume" "ME.Adjusted"
2014-09-05 46231.398 46231.398 46231.398 46231.398 0 46231.398
2014-09-08 46357.199 46357.199 46357.199 46357.199 0 46357.199
2014-09-09 45915.199 45915.199 45915.199 45915.199 0 45915.199
2014-09-10 45894.102 45894.102 45894.102 45894.102 0 45894.102
2014-09-11 45672.602 45672.602 45672.602 45672.602 0 45672.602
2014-09-12 45799.699 45799.699 45799.699 45799.699 0 45799.699
2014-09-15 45861.801 45861.801 45861.801 45861.801 0 45861.801
2014-09-16 45861.801 45861.801 45861.801 45861.801 0 45861.801
2014-09-17 46043.602 46043.602 46043.602 46043.602 0 46043.602
2014-09-18 46168.602 46168.602 46168.602 46168.602 0 46168.602
2014-09-19 45761.898 45761.898 45761.898 45761.898 0 45761.898
2014-09-22 45302 45302 45302 45302 0 45302
2014-09-23 45015.199 45015.199 45015.199 45015.199 0 45015.199
2014-09-24 45116.898 45116.898 45116.898 45116.898 0 45116.898
2014-09-25 44781.102 44781.102 44781.102 44781.102 0 44781.102
2014-09-26 44884.301 44884.301 44884.301 44884.301 0 44884.301
2014-09-29 44898.199 44898.199 44898.199 44898.199 0 44898.199
2014-09-30 44985.699 44985.699 44985.699 44985.699 0 44985.699
2014-10-01 44365 44365 44365 44365 0 44365
2014-10-02 44254.398 44254.398 44254.398 44254.398 0 44254.398
2014-10-03 44678.102 44678.102 44678.102 44678.102 0 44678.102
2014-10-06 44820.898 44820.898 44820.898 44820.898 0 44820.898
2014-10-07 44536.602 44536.602 44536.602 44536.602 0 44536.602
2014-10-08 44488 44488 44488 44488 0 44488
2014-10-09 44082.199 44082.199 44082.199 44082.199 0 44082.199
2014-10-10 43435.699 43435.699 43435.699 43435.699 0 43435.699
2014-10-13 43088.699 43088.699 43088.699 43088.699 0 43088.699
2014-10-14 43179.898 43179.898 43179.898 43179.898 0 43179.898
2014-10-15 42984.898 42984.898 42984.898 42984.898 0 42984.898
2014-10-16 42907.602 42907.602 42907.602 42907.602 0 42907.602
2014-10-17 43273.5 43273.5 43273.5 43273.5 0 43273.5
2014-10-20 43213.898 43213.898 43213.898 43213.898 0 43213.898
2014-10-21 43630.602 43630.602 43630.602 43630.602 0 43630.602
2014-10-22 43450.801 43450.801 43450.801 43450.801 0 43450.801
2014-10-23 43691.102 43691.102 43691.102 43691.102 0 43691.102
2014-10-24 43665.5 43665.5 43665.5 43665.5 0 43665.5
2014-10-27 43810.5 43810.5 43810.5 43810.5 0 43810.5
2014-10-28 44039.602 44039.602 44039.602 44039.602 0 44039.602
2014-10-29 44238.898 44238.898 44238.898 44238.898 0 44238.898
2014-10-30 44599.301 44599.301 44599.301 44599.301 0 44599.301
2014-10-31 45027.5 45027.5 45027.5 45027.5 0 45027.5
2014-11-03 45184.801 45184.801 45184.801 45184.801 0 45184.801
2014-11-04 44884.398 44884.398 44884.398 44884.398 0 44884.398
2014-11-05 45072 45072 45072 45072 0 45072
2014-11-06 44849.898 44849.898 44849.898 44849.898 0 44849.898
2014-11-07 44614.699 44614.699 44614.699 44614.699 0 44614.699
2014-11-10 44523 44523 44523 44523 0 44523
2014-11-11 44300.801 44300.801 44300.801 44300.801 0 44300.801
2014-11-12 43744.602 43744.602 43744.602 43744.602 0 43744.602
2014-11-13 43743.801 43743.801 43743.801 43743.801 0 43743.801
2014-11-14 43372 43372 43372 43372 0 43372
2014-11-17 43372 43372 43372 43372 0 43372
2014-11-18 43491.398 43491.398 43491.398 43491.398 0 43491.398
2014-11-19 44118.102 44118.102 44118.102 44118.102 0 44118.102
2014-11-20 44209.398 44209.398 44209.398 44209.398 0 44209.398
2014-11-21 44633.301 44633.301 44633.301 44633.301 0 44633.301
2014-11-24 44621.102 44621.102 44621.102 44621.102 0 44621.102
2014-11-25 44441 44441 44441 44441 0 44441
2014-11-26 44672.199 44672.199 44672.199 44672.199 0 44672.199
2014-11-27 44689.199 44689.199 44689.199 44689.199 0 44689.199
2014-11-28 44190.5 44190.5 44190.5 44190.5 0 44190.5
2014-12-01 43392.102 43392.102 43392.102 43392.102 0 43392.102
2014-12-02 43008.102 43008.102 43008.102 43008.102 0 43008.102
2014-12-03 43112.301 43112.301 43112.301 43112.301 0 43112.301
2014-12-04 42816.102 42816.102 42816.102 42816.102 0 42816.102
2014-12-05 43230.301 43230.301 43230.301 43230.301 0 43230.301
2014-12-08 42941.801 42941.801 42941.801 42941.801 0 42941.801
2014-12-09 42339.602 42339.602 42339.602 42339.602 0 42339.602
2014-12-10 41372.699 41372.699 41372.699 41372.699 0 41372.699
2014-12-11 41714.602 41714.602 41714.602 41714.602 0 41714.602
2014-12-12 41714.602 41714.602 41714.602 41714.602 0 41714.602
2014-12-15 40332.301 40332.301 40332.301 40332.301 0 40332.301
2014-12-16 40225.102 40225.102 40225.102 40225.102 0 40225.102
2014-12-17 41004.398 41004.398 41004.398 41004.398 0 41004.398
2014-12-18 42475.699 42475.699 42475.699 42475.699 0 42475.699
2014-12-19 42529.898 42529.898 42529.898 42529.898 0 42529.898
2014-12-22 42873 42873 42873 42873 0 42873
2014-12-23 43122.699 43122.699 43122.699 43122.699 0 43122.699
2014-12-24 43002.898 43002.898 43002.898 43002.898 0 43002.898
2014-12-25 43002.898 43002.898 43002.898 43002.898 0 43002.898
2014-12-26 43002.199 43002.199 43002.199 43002.199 0 43002.199
2014-12-29 43187.602 43187.602 43187.602 43187.602 0 43187.602
2014-12-30 43018.801 43018.801 43018.801 43018.801 0 43018.801
2014-12-31 43145.699 43145.699 43145.699 43145.699 0 43145.699
2015-01-01 43145.699 43145.699 43145.699 43145.699 0 43145.699
2015-01-02 42115.5 42115.5 42115.5 42115.5 0 42115.5
2015-01-05 41099.398 41099.398 41099.398 41099.398 0 41099.398
2015-01-06 41329.398 41329.398 41329.398 41329.398 0 41329.398
2015-01-07 41813.898 41813.898 41813.898 41813.898 0 41813.898
2015-01-08 42402.301 42402.301 42402.301 42402.301 0 42402.301
2015-01-09 42382.398 42382.398 42382.398 42382.398 0 42382.398
2015-01-12 41780.801 41780.801 41780.801 41780.801 0 41780.801
2015-01-13 41478.301 41478.301 41478.301 41478.301 0 41478.301
2015-01-14 40984.199 40984.199 40984.199 40984.199 0 40984.199
2015-01-15 40998.801 40998.801 40998.801 40998.801 0 40998.801
2015-01-16 41402 41402 41402 41402 0 41402
2015-01-19 41285.602 41285.602 41285.602 41285.602 0 41285.602
2015-01-20 41752.699 41752.699 41752.699 41752.699 0 41752.699
2015-01-21 42488.699 42488.699 42488.699 42488.699 0 42488.699
2015-01-22 43121.301 43121.301 43121.301 43121.301 0 43121.301
2015-01-23 42649.699 42649.699 42649.699 42649.699 0 42649.699
2015-01-26 42737.898 42737.898 42737.898 42737.898 0 42737.898
2015-01-27 42627.801 42627.801 42627.801 42627.801 0 42627.801
2015-01-28 42161.801 42161.801 42161.801 42161.801 0 42161.801
2015-01-29 41862.301 41862.301 41862.301 41862.301 0 41862.301
2015-01-30 40950.602 40950.602 40950.602 40950.602 0 40950.602
2015-02-02 40950.602 40950.602 40950.602 40950.602 0 40950.602
2015-02-03 41572.199 41572.199 41572.199 41572.199 0 41572.199
2015-02-04 41710.801 41710.801 41710.801 41710.801 0 41710.801
2015-02-05 42453.602 42453.602 42453.602 42453.602 0 42453.602
2015-02-06 42715.398 42715.398 42715.398 42715.398 0 42715.398
