"Index" "USD.SEK"
2015-09-06 8.4348
2015-09-07 8.4456
2015-09-08 8.4318
2015-09-09 8.4163
2015-09-10 8.3891
2015-09-11 8.312
2015-09-12 8.2374
2015-09-13 8.2388
2015-09-14 8.2424
2015-09-15 8.2663
2015-09-16 8.2857
2015-09-17 8.2442
2015-09-18 8.1947
2015-09-19 8.2461
2015-09-20 8.2509
2015-09-21 8.2871
2015-09-22 8.3707
2015-09-23 8.4122
2015-09-24 8.4033
2015-09-25 8.4184
2015-09-26 8.4104
2015-09-27 8.4127
2015-09-28 8.4413
2015-09-29 8.4233
2015-09-30 8.3864
2015-10-01 8.3792
2015-10-02 8.3634
2015-10-03 8.3573
2015-10-04 8.3572
2015-10-05 8.3413
2015-10-06 8.2982
2015-10-07 8.2408
2015-10-08 8.2408
2015-10-09 8.2105
2015-10-10 8.1959
2015-10-11 8.1996
2015-10-12 8.1837
2015-10-13 8.1514
2015-10-14 8.1271
2015-10-15 8.1566
2015-10-16 8.2331
2015-10-17 8.2447
2015-10-18 8.2419
2015-10-19 8.2727
2015-10-20 8.3005
2015-10-21 8.3105
2015-10-22 8.3627
2015-10-23 8.4753
2015-10-24 8.5029
2015-10-25 8.5022
2015-10-26 8.4988
2015-10-27 8.5009
2015-10-28 8.4848
2015-10-29 8.5447
2015-10-30 8.5447
2015-10-31 8.5412
2015-11-01 8.5304
