"Index" "HP.Open" "HP.High" "HP.Low" "HP.Close" "HP.Volume" "HP.Adjusted"
2015-01-22 64.279999 64.5 62.740002 64.269997 2072100 61.592837
2015-01-23 64.120003 65 62.66 62.959999 2556900 60.337408
2015-01-26 63.139999 64.279999 62.639999 64.239998 1448700 61.564088
2015-01-27 63.810001 64.720001 63.040001 63.810001 2355500 61.152003
2015-01-28 63.720001 63.720001 59.259998 59.669998 4188900 57.184451
2015-01-29 55.799999 57.880001 54 57.459999 6595000 55.066509
2015-01-30 57.150002 60.630001 56.639999 59.560001 3929300 57.079036
2015-02-02 60.669998 64 60.48 63.700001 3757300 61.046585
2015-02-03 65.650002 68.07 65.389999 67.849998 5641800 65.023715
2015-02-04 66.029999 68.440002 64.199997 65.720001 5031500 62.982442
2015-02-05 66.900002 67.309998 65.010002 67.080002 3404300 64.285792
2015-02-06 67.639999 68.699997 66.360001 68.019997 2724400 65.186632
2015-02-09 68.760002 70.279999 68.559998 69.580002 2792600 66.681655
2015-02-10 68.940002 68.940002 65.349998 66.349998 4100000 63.586197
2015-02-11 64.150002 65.800003 63.759998 65.309998 1996400 63.245326
2015-02-12 66.470001 67.75 65.730003 65.959999 1829800 63.874779
2015-02-13 67.199997 69.629997 67.169998 69.580002 2555100 67.380341
2015-02-17 69.080002 71.550003 68.080002 71.139999 2405700 68.891021
2015-02-18 69.629997 70.800003 68.949997 70.720001 2059200 68.484301
2015-02-19 68.540001 71.550003 68.32 70.239998 2206500 68.019472
2015-02-20 70.370003 70.75 69.040001 69.730003 1484500 67.5256
2015-02-23 68.639999 69.059998 66.949997 67.599998 2799000 65.462932
2015-02-24 68.220001 68.480003 66.160004 67.300003 2371700 65.17242
2015-02-25 67.669998 68.07 65.699997 67.650002 2347700 65.511354
2015-02-26 67.230003 67.699997 65.910004 66.199997 2264900 64.107189
2015-02-27 66.459999 67.489998 66.440002 67.059998 1931300 64.940002
2015-03-02 67.059998 67.059998 64.919998 65.709999 2310500 63.632682
2015-03-03 65.779999 67.68 65.290001 67.330002 1835500 65.201471
2015-03-04 67.129997 67.209999 65.099998 66.629997 2139900 64.523596
2015-03-05 66.279999 68.230003 65.139999 68.120003 1647100 65.966497
2015-03-06 67.550003 68.589996 67.050003 67.18 1952500 65.056211
2015-03-09 66.790001 67.360001 65.150002 65.760002 1960300 63.681104
2015-03-10 64.690002 65.580002 64.269997 64.330002 2124900 62.296311
2015-03-11 64.559998 64.629997 63.369999 64.5 2340100 62.460935
2015-03-12 65.139999 65.139999 62.93 63.27 2042600 61.26982
2015-03-13 62.610001 62.720001 60.990002 62.490002 2301700 60.51448
2015-03-16 61.959999 64.160004 60.970001 64.110001 3537000 62.083265
2015-03-17 63.349998 64.309998 63.060001 64.029999 1607300 62.005792
2015-03-18 63.650002 67.559998 62.98 66.940002 2066900 64.823801
